A01:A_MAZE_ING|???: "У-ди-ви-тельно!"
BRIEF:S06|Домино падает одно за другим. Америка полностью под нашим контролем, в то время как Евро-Союз начал крах благодаря нашим силам - которые недавно начали вторжение в Германию, возглавляемое Борисом. Южная Корея также пала, широко открыв путь в сердце Тихоокеанского фронта. Однако еще не все сказано и сделано. Американцы развернули множество экспериментальных вооруженных спутников, что сорвало попытку нападения Латинской Конфедерации на Космический центр Кеннеди, несмотря на вашу помощь во Флориде. Хотя он пал, союзники все еще сохраняют контроль над своими спутниками. Источник наших проблем находится на Перл-Харборе, последнем американском оплоте - который все еще поддерживает своих союзников, координируя работу орбитального оружия для поддержки военно-морской блокады, защищающего фланг Японии. Тихоокеанский фронт знает о своей слабости, поэтому они сильно укрепили Гавайский архипелаг остатками американского флота вперемешку со своими силами, вместе с группой экспертов, находящимся там по неизвестной причине.\n\nВместе с нашими союзниками разгромите острова и сделайте Тихий океан нашим.\n\nНо в этом нашем совместном ударе есть и другая цель. Выздоровление Волкова повергло в смятение большую часть Кремля, поскольку в редкие минуты ясности рассудка он выказывал крайнее презрение к Юрию. Генерал Владимир воспринял это как подтверждение своей скрытой паранойи и мобилизовал свои силы. Юрий действительно ответственен за большую часть наших побед, но также у него есть возможности разрушить все это. В результате всех этих событий премьер-министр Романов хочет - чтобы вы произвели впечатление на китайского генерала командующего этой операцией, а также на силы Латинской Конфедерации под вашим командованием. Нам скоро может понадобиться их помощь.\n\nЗадача 1: Разверните передовую базу на Гавайях.\nЗадача 2: Уничтожьте силы Альянса.
BRIEF:S07|Красная Тревога Товарищ Генерал! Проклятая Хроносфера не только активна, но и её работа не поддается отслеживанию! Когда разведгруппа Бориса наткнулась на предполагаемое ядро европейских исследований в Шварцвальде, произошло нечто пугающее - само время, казалось, искривилось а после на месте ничего не оказалось, его исчезновение в последствии было зафиксировано в отчете отряда Бориса. Пока эта штука функционирует, Альянс может телепортировать и направлять свои силы, припасы и оборудование в любом месте с непревзойденной скоростью и эффективностью, что делает все что от них осталось, гораздо большей угрозой, чем они должны были быть. Это, в сочетании со странным поведением Генерала Владимира в Америке в качестве надзирателя, даже если он остается "послушным" Романову, это является тревожным сигналом - что ситуация выходит из под контроля. Юрий вызвался вмешаться, но Романов прислушался к предупреждениям Волкова и сообщениям полковника Хосе Аркадио Моралеса из Африки о растущей террористической угрозе, которая, по его мнению, имеет какое-то отношение к Юрию, и отказался предоставить ему дополнительные полномочия. Мы застряли между молотом и наковальней.\n\nТем не менее Генерал Ву был впечатленный вашими успехами во Владивостоке и вашей помощью в их вторжении в Японию. Это наряду с недавно украденными разведданными союзников, возвращением Волкова на службу и нашими собственными проектами в Уральских горах, может дать нам возможность стабилизировать ситуацию и укрепить наши позиции. Но мы боимся, что союзники могут знать о существовании проекта в Уральских Горах. Защищайте объект до окончания работ. Наш проект не должен пасть под натиском игрушек союзников!\n\nЗадача 1: Защищайте Дворец и сборочную линию Апокалипсисов.\nЗадача 2: Уничтожьте вражеские войска.
BRIEF:S08|Генерал Владимир нас предал, а на территориях Советских Штатов абсолютный хаос. Мы потеряли контроль над всеми "Пси-Маяками" на Восточном побережье, а Юрий пропал без вести!\nНикто не отвечает Верховному командованию и не выполняет приказы. Если оставить все это без какого либо контроля, то может начаться цепная реакция, которая полностью уничтожит все, над чем мы работали. Порабощение Америки как и Европы построено исключительно силами наших Маяков, благодаря им все, от промышленных центров до самых маленьких городов и деревень, находится под нашим контролем. Если позволить этому продолжаться, то мы проиграем не только эту войну, но и сам дух Великой Красной Революции будет уничтожен. Американцы, скорее всего, восстанут в тот момент - когда Маяки падут, и хотя мы можем себе это позволить, есть вероятность что Предатель Владимир или пропавший Юрий могут перехватить контроль над имеющимися маяками и поднять Америку против нас.\n\nКитайские войска во главе с Генералом Ву помогут нам - обеспечив Волкову и Чицкому проход в Сталингтон имеющимися силами, которые затем перейдут под ваше командование. У премьера Романова есть план, и он хочет, чтобы вы постарались спасти как можно больше Американцев вместе с нашими товарищами, которые сейчас находятся под контролем разума и вынуждены сражаться с нами.\n\nЗадача: Уничтожьте Войска Предателя.
BRIEF:S09|Юрий провел нас всех как последних идиотов. Нападение на Уральские горы, огромные суммы, исчезнувшие из казначейства Нью-Йорка вместе с американскими разработками лазерных технологий, а также его внезапное исчезновение - все это его рук дело. Хуже всего то, что все регионы, контролируемые маяками, кроме тех, что взял под контроль Владимир, находятся под его контролем. Хотя европейские пси-маяки все ещё реагируют на наши приказы, и мы очень близки к тому, чтобы сдержать остатки союзников с помощью совершенно новой системы орбитальных магнитных устройств, предназначенной для противодействия их Хроносфере, мы не можем позволить себе вторгнуться в США во второй раз, и Юрий хорошо знает об этом.\n\nУ премьера Романова, к счастью, есть план противодействия возможному захвату с его стороны, если он произойдет. Хотя мы не смогли отключить маяки в Соединенных Штатах, американцы знают свою землю, они слишком глупы и упрямы, чтобы угрозами заставить их подчиниться, несмотря на это они довольно прагматичны.\n\nРоманов хочет использовать силы, освобожденные в Вашингтоне, и остатки данных спутника Меркурий с Гавайев, чтобы вернуть Дугану способность уничтожить их собственные Маяки и официально признать восстановление Соединенных Штатов.\n\nЭтот план был встречен с бурным неодобрением как китайской стороной, так и Конфедерацией - причем именно они особенно ядовито заявили, что это обернется против Коминтерна, в частности, против перспективного генерала Арго. Если мы правильно разыграем наши карты и добьемся того, что Европа будет нашей, Америка будет покорной на десятилетия вперед, учитывая, что мы уже неоднократно наносили ущерб США.\n\nЗадача: Захватить президента Дугана.\n\nПримечание: Советские герои должны оставаться в строю на протяжении всей миссии.\n\n
BRIEF:S10|
BRIEF:S11|
BRIEF:S12|
LOADBRIEF:A01|Задача: Следуйте инструкциям, полученным во время миссии.\n\nСпецагент Таня должна быть в строю до конца миссии.
LOADBRIEF:A02|Задача 1: Отбить часовню академии ВВС и авиабазу.\nЗадача 2: Уничтожить все советские войска в этом районе.\n\nСпецагент Таня и кпрл. Шепард должны быть живы пока Часовня не будет отбита.
LOADBRIEF:A03|Задача 1: Найти источник всего происходящего в Вашингтоне.\nЗадача 2: Ожидайте дальнейших инструкций.
LOADBRIEF:A04|Задача: Следуйте инструкциям, полученным во время миссии.\n\nСержант Шепард должен быть в строю до конца миссии.
LOADBRIEF:A05|Задача 1: Зачистите зону высадки.\nЗадача 2: Проникните на Радарные Вышки чтобы саботировать связь.\nЗадача 3: Проникните во Дворец чтобы\nузнать местонахождение Тактических Ядерных Шахт.\nЗадача 4: Уничтожьте все Ядерные Шахты.\n\nСпецагент Таня должна быть в строю до конца миссии.
LOADBRIEF:A06|Задача 1: Освободить территорию вокруг Пентагона.\nЗадача 2: Ликвидируйте все советские войска в регионе.
LOADBRIEF:A07|Задача 1A: Защитить Станцию Связи с Меркурием.\nЗадача 1В: Защитить Центр Управления Щитом.\nЗадача 1С: Защитить Центр Управления Роботизированными Операциями.
LOADBRIEF:A08|Задача 1: Найти и уничтожить Пси Маяк.\nЗадача 2: Уничтожить все советские войска в Сент-Луисе.\n\nСпецагент Таня должна быть в строю пока Пси-Маяк не будет уничтожен.
LOADBRIEF:A09|Задача: Уничтожьте силы Латинской Конфедерации и верните себе Гибридные башни.
LOADBRIEF:A10|
LOADBRIEF:A11|
LOADBRIEF:A12|
LOADBRIEF:S01|Задача 1: Уничтожьте Пентагон.\n\nБорис должен оставаться в строю на протяжении всей миссии.
LOADBRIEF:S02|Задача 1: Уничтожьте морские силы Тихоокеанского Фронта.\nЗадача 2: Уничтожьте аванпост Тихоокеанского Фронта.\nЗадача 3: Уничтожьте силы США в районе.
LOADBRIEF:S03|Задача 1: Захватить Тех.Центр Альянса.\nЗадача 2: Защищать Психический Маяк пока он не заработает на полную мощность.
LOADBRIEF:S04|Задача: Защитите Родину.
LOADBRIEF:S05|Задача 1: Следуйте инструкциям, полученным во время миссии.
LOADBRIEF:S06|Задача 1: Разверните передовую базу на Гавайях.\nЗадача 2: Уничтожьте силы Альянса.
LOADBRIEF:S07|Задача 1: Защищайте Дворец и сборочную линию Апокалипсисов.\nЗадача 2: Уничтожьте вражеские войска.
LOADBRIEF:S08|Задача: Уничтожьте Войска Предателя.
LOADBRIEF:S09|Задача: Захватить президента Дугана.\n\nПримечание: Советские герои должны оставаться в строю на протяжении всей миссии.
LOADBRIEF:S10|
LOADBRIEF:S11|
LOADBRIEF:S12|
LOADMSG:A01|Операция: Одинокий Страж - Место: Нью-Йорк, США
LOADMSG:A02|Операция: Орлиный Рассвет - Место: Колорадо-Спрингс, США
LOADMSG:A03|Операция: Слава Вождю - Место: Вашингтон, округ Колумбия, США
LOADMSG:A04|Операция: Последний Шанс - Место: Чикаго, США
LOADMSG:A05|Операция: Темной Ночью - Место: Немецко-Польская граница, Европа
LOADMSG:A06|Операция: Свобода - Место: Вашингтон, округ Колумбия, США
LOADMSG:A07|Операция: Бездонное Море - Место: Гавайи, США
LOADMSG:A08|Операция: Свободный путь - Место: Сент-Луис, США
LOADMSG:A09|Операция: Храм Солнце - Место: Тулум, Мексика
LOADMSG:A10|Operation: Mirage - Location: Black Forest, Germany
LOADMSG:A11|Operation: Fallout - Location: Florida Keys, U.S.A.
LOADMSG:A12|Operation: Chrono Storm - Location: Moscow, Russia
LOADMSG:S01|Операция: Красный Рассвет - Место: Вашингтон, округ Колумбия, США
LOADMSG:S02|Операция: Враждебный Берег - Место: Восточное побережье, Флорида, США
LOADMSG:S03|Операция: Большое Яблоко - Место: Нью-Йорк, США
LOADMSG:S04|Операция: Работа в Тылу - Место: Владивосток, Россия
LOADMSG:S05|Операция: Город Огней - Место: Париж, Франция
LOADMSG:S06|Операция: Разделение - Место: Гавайи, США
LOADMSG:S07|Операция: Хроно-Защита - Место: Уральские горы, Россия
LOADMSG:S08|Операция: Осквернение - Место: Сталингтон, КША
LOADMSG:S09|Операция: Лиса и Гончая - Место: Аламо, США.
LOADMSG:S10|Operation: Weathered Alliance - Location: Virgin Islands, U.S.A.
LOADMSG:S11|Operation: Red Revolution - Location: Moscow, Russia
LOADMSG:S12|Operation: Polar Storm - Location: Point Hope, Alaska
MAP:A01|Альянс 01: Одинокий Страж
MAP:A02|Альянс 02: Орлиный Рассвет
MAP:A03|Альянс 03: Слава Вождю
MAP:A04|Альянс 04: Последний Шанс
MAP:A05|Альянс 05: Тёмной Ночью
MAP:A06|Альянс 06: Свобода
MAP:A07|Альянс 07: Бездонное Море
MAP:A08|Альянс 08: Свободный путь
MAP:A09|Альянс 09: Храм Солнца
MAP:A10|Allied 10: Mirage
MAP:A11|Allied 11: Fallout
MAP:A12|Allied 12: Chrono Storm
MAP:S01|Советы 01: Красный Рассвет
MAP:S02|Советы 02: Враждебный Берег
MAP:S03|Советы 03: Большое Яблоко
MAP:S04|Советы 04: Работа в Тылу
MAP:S05|Советы 05: Город Огней
MAP:S06|Советы 06: Разделение
MAP:S07|Советы 07: Хроно-Защита
MAP:S08|Советы 08: Осквернение
MAP:S09|Советы 09: Лиса и Гончая
MAP:S10|Soviet 10: Weathered Alliance
MAP:S11|Soviet 11: Red Revolution
MAP:S12|Soviet 12: Polar Storm
MISSION:DNIGHT|Сложность: Невыносимая
MISSION:TEXTLENGTH|=======================================================================
POST:A01|Советы считали что разрушение символа свободы деморализует\nнас, но наши действия доказали им обратное. Может Нью-Йорк на\nданный момент и в безопасности, но основная часть их сил все\nеще продолжает вести наступление.
POST:A02|Восстановленные нами Дети бури могут  дать нам преимущество,\nкоторое нам нужно, чтобы одолеть Советов. Однако ситуация\nвокруг нашей столицы Вашингтона, особенно вокруг Белого дома,\nскладывается странная. Нас отозвали в столицу.
POST:A03|Существование способа лишить кого-бы то ни-было свободы воли\nболее чем тревожно. Но но это еще не самое худшее - еще\nбольше таких Сооружений начали появляться по всей стране.
POST:A04|В последний момент нам удалось завершить передачу важной\nинформации о технологии контроля над разумом. Какой бы\nболезненной ни была потеря Чикаго, у нас получилось помешать\nСоветам установить полный контроль над нашей страной.
POST:A05|Наконец-то мы нанесли Советскому Союзу по настоящему\nболезненный удар. После ликвидации ядерных шахт в Польше -\nЕвропейский Союз согласился присоединиться к нашему делу и\nпомочь нам вернуть нашу страну.
POST:A06|Одновременная ликвидация всей сети Маяков это огромный успех.\nСтрана к востоку от реки Миссисипи освобождена. Но Советы это\nтак не оставят, и они уже приминают ответные действия флот\nЕвросоюза сопроводит вас из Панамы на острова Гавайи.
POST:A07|Гавайи спасены, и теперь мы можем помочь Японии в ответ.\nПосле этой победы корпорация МассивСофт начала вносить свой\nвклад в общее дело. Так держать, командир.
POST:A08|То что натворили Советы в нашем городе это демонстрация\nих жестокости не только для США но и для всего мира. Вам\nвыпала честь уничтожить базу на Юкатане, которая является\nкрупнейшим научно-исследовательским центром Конфедерации.
POST:A09|Могущество Конфедерации было успешно подорвано, несмотря на\nпровал спасательной операции. Теперь Советы планируют убрать\nевропейцев со своего пути раз и навсегда. Зигфрид просит вас\nо помощи в защите исследовательского центра в Черном лесу.
POST:A10|
POST:A11|
POST:A12|
POST:S01|Отличная работа, Товарищ Генерал. С исчезновением их центра\nвоенного управления боевой дух американцев вскоре последует\nвслед за ним. Помощь Бориса сейчас нужна кое где еще, а вы\nнужны нам на побережье Флориды. Наше дело должно процветать.
POST:S02|Ваша атака увенчалась ошеломляющим успехом, американцы\nотступают вглубь материка. Вы вновь оправдали наши ожидания.\nНас попросили направить вас в Нью-Йорк, у нас появился\nинтересный способ обратить все усилия врага в прах.
POST:S03|Возможности Пси-Маяка теперь не вызывают сомнений. Как назло\n- наша победа над Альянсом на Восточном побережье настроила\nТихоокеанский Фронт на попытку вторжения вглубь нашей Родины.\nМы приказываем вам немедленно отправиться на защиту.
POST:S04|Несмотря на превосходящего вас по силам противника и с\nнебольшой помощью наших друзей вы лишили Тихоокеанский Фронт\nважной для них победы. В Европе есть особое место, где мы\nможем отпраздновать такой впечатляющий подвиг.
POST:S05|Этот удар не нанес серьезных последствий для нашего врага, но\nтем не менее, понеся большие потери - китайские отряды смогли\nзахватить Волкова. Он имеет большую ценность для нас. Китайцы\nпередали его нам и теперь он находится в засекреченном месте.
POST:S06|Европейцы раскрыли свой козырь. Независимо от того, что они\nтелепортировали, это показало функциональность их Хроносферы.\nИх новое оружие похоже на устройства найденные нами в Париже.\nСейчас нас в срочном порядке перебрасывают к Уральским горам.
POST:S07|Великолепная работа, Товарищ Генерал. Вот только пока вы были\nзаняты Генерал Владимир проявил свою предательскую суть и\nзахватил управление Пси-Маяками на восточном побережье КША.\nВам и Волкову приказано вмешаться.
POST:S08|Так как наша сеть пси-маяков теперь бесполезна, удерживать\nКША теперь невозможно. Премьер-министр Романов предпринял\nнекие планы которые он назвал отплатой старого долга - для\nобеспечения будущего. Наше будущее.
POST:S09|Опасный маневр удался. После заключения сделки Соединенные\nШтаты начали свою революцию, чтобы свергнуть К.Ш.А. Юрия.\nПока они смирились, мы должны уничтожить остатки мятежников,\nпока это еще возможно.
POST:S10|
POST:S11|
POST:S12|
S01:BORILLO|Борилло это транспорт амфибия. Вооружен огнеметом для борьбы с пехотой и зданиями.\n
S01:BORIS_DEAD|Борис убит - МИССИЯ ПРОВАЛЕНА
S01:BORIS_INFO|Борис теперь под вашим командованием. У него есть право призывать поддержку с воздуха.
S01:BORIS_KEEP_ALIVE|Вы должны обеспечить его целость и сохранность.
S01:CAPTURE|Хорошая работа, товарищ генерал.\nЭта Захваченная Американская база пока будет служить передовым форпостом
S01:CAPTURE1|на пути к Пентагону, а когда битва закончится, мы изучим образцы Американского вооружения.
S01:DATE|- Вашингтон - округ Колумбия, 22-ое Марта 1970 года -
S01:DEFINITELY_NOT_YURI_LOL|"Гражданский"
S01:DOCK_FAKE|Здание Администрации Порта Округа Колумбия
S01:DOGS|Боевые Псы хорошие разведчики и убийцы пехоты. Они также могут выслеживать вражеских шпионов.
S01:ENGINEERS|Вы можете тренировать инженеров для ремонта зданий и захвата вражеских построек.
S01:FLAKBUILT|Зенитчики здесь для борьбы с авиацией и наземной техникой. Они дешевы и из них легко собрать толпу.\n
S01:GARRISON|СОВЕТ - Вы можете приказать Новобранцам и Зенитчикам занять здания\nэто даст им укрытие и повысит их живучесть.
S01:HINT_AIRPORT|Захват Гражданского Аэропорта даст нам возможность высадить десант.
S01:INFANTRY_BUILT|Новобранцы это основа Советской Армии. Используйте их чтобы задавить врага количеством.
S01:INTRO|Товарищ Генерал, вы были удостоены возможностью лично уничтожить Пентагон.
S01:JARIF_APC|БТР Джариф
S01:JARIF_APC_DEPLOYED|БТР Джариф прибыл!
S01:LOW_POWER|У вас мало энергии. Постройте больше Реакторов Тесла чтобы поддерживать высокую скорость производства.
S01:MCV_ARRIVES|Вам МСЦ прибыл. Отстройте базу и приготовьтесь действовать.
S01:OBJ1|Задача: Уничтожить Пентагон.
S01:PENTAGON_DESTROYED|Задание Выполнено. Пентагон превратился в груду щебня.
S01:PLAYER_DESTROYED|Все ваши войска были уничтожены - МИССИЯ ПРОВАЛЕНА
S01:PORT_CAPTURE|Мы можем отправить вам больше солдат, если вы захватите это здание Администрации Порта.
S01:PORT_YOURS|Захватив здание Администрации Порта, наши силы медленно заполнят все окрестности округа Колумбия.
S01:REPAIR_BRIDGE|СОВЕТ - Отправьте Инженера в Станцию Управления Мостом чтобы починить мост.
S01:RETREAT|ВНИМАНИЕ - Американцы отправили к вам многочисленный парашютный десант. Осторожно!
S01:RHINO|Это Носорог наш основной боевой танк. Он стреляет снарядами с тесла-наконечниками каждые три выстрела.
S01:START|Наше вторжение началось. Америка падет перед нашей мощью.
S01:TESLA|Тесла Штурмовики это дальнейшее развитие старых Тесла Солдат. Они отлично справляются с бронетехникой.
S01:TIGR|БТР Тигр это наша заменам Вездеходам. Медленнее но прочнее, имеются три места для пассажиров.
S01:UNOCUPPY|СОВЕТ - Чтобы приказать бойцам оставить здание, выделите здание
S01:UNOCUPPY2|нажмите D или совершите двойное нажатие ЛКМ по нему.
S02:CARRIERS_MOVING|ВНИМАНИЕ - Авианосцы начали оперативное развертывание и скоро атакуют нашу базу!
S02:DEFENDVLAD|Убедитесь, что силы Альянса не потопят его корабль.
S02:DRONE_SW|Наша команда робототехников усердно работала. Теперь вы можете вызывать ремонтных дронов на поле боя.
S02:FOUND_US_BASE|Судя по всему, главная американская база располагает авианосцами.
S02:GHARIAL|Ты настоящий убийца крокодилов, командир. Этот китаец поможет тебе почувствовать себя лучше.
S02:HALFTRACK|Вездеход - это наш противовоздушный и противопехотный транспортер. Он вмещает двух человек.
S02:INTRO|Американские подразделения и силы Тихоокеанского фронта имеют свои\nфорпосты в этой части Восточного побережья.
S02:INTRO2|Об этой морской базе нужно позаботиться в первую очередь, прежде чем мы высадимся на берег.
S02:INTRO3|Этого отряда должно быть достаточно, чтобы справиться с ними. Мы пришлем еще, как только вы очистите море.
S02:JAGUAR|Танк "Ягуар" - основной боевой танк латиноамериканцев.\nЕго скорость и низкая цена компенсирует отсутствие брони.
S02:JAGUAR2|Водители часто покидают машину и могут захватывать пустые транспортные средства.
S02:LAST_REPAIR_DRONE|Мы послали вам последний ремонтный дрон. Постарайтесь не потерять его, генерал.
S02:NAME_VLADSHIP|Командное судно Владимира
S02:NO_LAND_UNITS|У вас больше нет возможности уничтожить базу Тихоокеанского фронта - МИССИЯ ПРОВАЛЕНА
S02:NO_SUBS|Ваш военно-морской отряд был уничтожен - МИССИЯ ПРОВАЛЕНА
S02:OBJ1|Задача 1: Уничтожить военно-морские силы Тихоокеанского фронта.
S02:OBJ2|Задача 2: Уничтожить базу Тихоокеанского фронта.
S02:OBJ2C|Задание Выполнено. Ваш МСЦ скоро прибудет.
S02:OBJ3|Задача 3: Уничтожить силы США в этом районе.
S02:PLAYER_DESTROYED|Все ваши силы уничтожены - МИССИЯ ПРОВАЛЕНА
S02:REPAIR_DRONE_EXTRAS|Мы вновь снабдили вас дополнительным ремонтным дроном.
S02:SEAWOLF|Катамараны Морской Волк - это наши суда пво, которые также могут поражать легкие корабли и пехоту.
S02:SUBS|Подлодки Тайфун - основа нашего флота.\nИмеют два типа атаки, один из которых более точный и быстрее перезаряжается,
S02:SUBS2|другой является мощнее и имеет большую дальность атаки,\nно обладает низкой точностью и медленнее перезаряжается.
S02:USA_DESTROYED|Задание Выполнено. Силы США уничтожены.
S02:VLAD_ASSHOLE|ГЕН. ВЛАДИМИР: "СЕЙЧАС САМОЕ ВРЕМЯ НАНЕСТИ УДАР! ВО СЛАВУ РОДИНЫ!"
S02:VLADISDEDM8|Командное судно Владимира уничтожено - МИССИЯ ПРОВАЛЕНА
S02:VLADSCREAMS|ГЕН. ВЛАДИМИР: "Чего вы ждете, генерал!? Делайте же что-нибудь!"
S02:VLADSHIPREVEAL|Генерал Владимир будет руководить вашей операцией. Не разочаровывайте его ни при каких обстоятельствах.
S02:VULTURES|Стервятники Латинской Конфедерации прибыли. Используйте их, чтобы крушить врагов с воздуха.
S02:VULTURES2|Они также могут применять напалм по наземной цели.
S02:WARHAWK|ВНИМАНИЕ - Американские вертолеты Ястреб приближаются с северо-запада!
S02:ZUBR|Прибыла ваша десантная группа.
S03:AMC_HINT|Как странно. Системы БМП Страйкер совместимы с нашим вооружением.
S03:BEACON_ACTIVATED|Пси Маяк полностью заработал. Давайте покончим с этим!
S03:BEACON_LOST|Пси Маяк уничтожен - МИССИЯ ПРОВАЛЕНА
S03:BEACON_TIMER|Пси Маяк выйдет на полную мощь через:
S03:BRIEF|Упрямые американцы продолжают отрицать нашу победу, но это скоро изменится.
S03:BRIEF2|Юрий и его Пси-Корпус разработали план по захвату Нью-Йорка, но им нужно, чтобы мы
S03:BRIEF2A|сначала захватите этот технический центр Альянса, чтобы изучить их технологии.
S03:BRIEF3|Эта база переходит под ваше командование, делайте все что сочтете нужным во время этой операции.
S03:DTRUCK_SHOWCASE|Устаревшие Грузовики-Бомбы наконец получили обновление с тех пор, как мы в последний раз их использовали.\n
S03:EPSILON_STEALING|Сбор данных будет завершен через:
S03:EPSILON_STEALING_DONE|Все необходимые нам данные из Тех.Центра были успешно переданы.
S03:EPSILON_STEALING_TECH|Сбор данных будет завершен через:
S03:HINT_BACKDOOR|ВНИМАНИЕ - Силы Альянса могут обойти нас с тыла через реку Гудзон.
S03:INSTANT_SHELTER|СОВЕТ: Мгновенное Укрытие позволяет размещать бункеры в любом месте на поле боя.\n\n
S03:OBJ1|Задача 1: Захватить Тех.Центр Альянса.
S03:OBJ2|Задача 2: Защищать Психический Маяк пока он не заработает на полную мощность.
S03:PC_REINF|Юрий отправил вам своих солдат Пси-Корпуса. Они могут брать под контроль разум солдат врага.
S03:PC_REINF2|Солдаты Пси-Корпуса были высажены возле Психического Маяка. Используйте их с умом.
S03:PLAYER_DESTROYED|Все ваши силы уничтожены - МИССИЯ ПРОВАЛЕНА
S03:SNIPERS|ВНИМАНИЕ - В городе прячутся снайперы.
S03:TANYATURNED1|ТАНЯ: " Надо дойти до маяка... еще чуть-чуть..."
S03:TANYATURNED2|ТАНЯ: "...да здравствует славное народное советское государство!"
S03:TANYSITEAPPLE|Спецагент американцев Таня здесь! Задержите ее продвижение любой ценой!
S03:TECH_CENTER_CAPTURED|Задача выполнена: Тех.Центр Альянса захвачен.
S03:TECH_CENTER_CAPTURED2|ИНЖЕНЕР: "Давайте начнем передачу данных, чертежей и всего что мы сможем найти!"
S03:TECH_CENTER_CAPTURED3|ИНЖЕНЕР: "Вы должны подготовиться к защите Психического Маяка пока еще можете."
S03:TECH_CENTER_DAMAGED|ЮРИЙ: "Постарайтесь не разрушить это драгоценное здание Союзников. Оно нам сейчас нужно."
S03:TECH_CENTER_LOST|Тех.Центр уничтожен - МИССИЯ ПРОВАЛЕНА
S03:TECH_CENTER_RECAPTURED|Силы Альянса отбили Тех.Центр и уничтожили все имеющиеся данные! - МИССИЯ ПРОВАЛЕНА
S03:TEXT|=======================================================================
S03:TIME_TO_BUILD_BEACON|Пришло время перейти к следующему шагу этой операции. Это привлечет достаточно много внимания.
S03:TIME_TO_BUILD_BEACON2|Мы покажем американцам - что на самом деле означает потерять их так называемую свободу.
S03:USA_GOING_BERSERK|Американцы бросают на нас все что у них есть!
S03:YURIINTRO1|ЮРИЙ: "Здравствуйте, товарищ генерал. Я рад, что такие талантливые кадры, как вы
S03:YURIINTRO1.1|возглавили эту операцию."
S03:YURIINTRO2|ЮРИЙ: "Возможно, кто-то усомнится в ваших возможностях, но я верю в ваши достижения."
S03:YURIINTRO3|ЮРИЙ: "То, что мы сегодня здесь сделаем, изменит ход не только этой битвы, но и всей войны."
S03:YURIINTRO4|ЮРИЙ: "Мои люди помогут вам в этой операции. Покажите всем, на что мы способны."
S03:YURIOUTRO|ЮРИЙ: "Поздравляю вас с успехом, товарищ. Вы видели чего мы смогли добиться."
S03:YURIOUTRO2|ЮРИЙ: "Это только начало. Вскоре весь мир поймет, что нас не остановить."
S04:CHINA_HELP|Китайцы нехотя отправили вам на помощь часть своих сил, в том числе и МСЦ.
S04:CHINA_HELP2|Они направляются к вам через Приморский Край. Оценить время их прибытия мы не смогли.
S04:CHINA_REINF1|К вам на помощь прибыл небольшой китайский отряд.
S04:CHINA_REINF2|Еще один отряд добрался до вас. Эти гирокоптеры будут полезны против вражеской пехоты.
S04:CHINA_REINF3|Дроны Стрекоза могут временно отключать вражескую технику. Найдите им применение.
S04:CHINA_REINF4|Часовые превосходны в уничтожении вражеского воздушного флота.
S04:CHINA_REINF5|Медленные, но прочные самоходные орудия Нюйва сметут все на своем пути.
S04:CONYARD_DESTROYED|Генерал Ву: "Ты жалок! Все чего от тебя требовалось, это защищать свой Сборочный Цех!"
S04:EMP_HELP|Атомное сердце за чертой досягаемости предоставило вам чертежи ЭМИ устройств.
S04:EMP_HELP2|Используйте их, чтобы обездвиживать вражескую технику.
S04:FOXTROT_AIRFIELDS|Теперь вы можете строить Фокстроты. Их ракеты после попадания распыляют напалм нанося дополнительный урон.
S04:HEAVY_TANK|Эти танки очень хорошо отслужили нам. Знаете ли вы, что они были отданы на переделку китайцам?
S04:INTRO|Корейцы нанесут удар по берегам Владивостока в ближайшее время.
S04:INTRO2|Долгое время оборона береговых линий не продержится, а их атаки только начались.
