LOADMSG:FASHES|Операция: Пепел, Место: Казахстан
POST:FARMS|Войска на Луне сообщают, что "мы" готовы к внезапному нападению. Усилители Контроля над разумом и военные заводы в Сталинграде больше не представляют угрозы для нашего наступления на Москву. Теперь пришло время избавиться от Юрия.
FARMS:01|Задача 1: Уничтожить все Ядерные Реакторы.
FARMS:11|Как только это произойдет, у «нас» появится прекрасная возможность начать всестороннюю атаку.
FARMS:12|«Наши» враги вскоре заметят присутствие Фина и Ализ и начнут активно противодействовать.
FARMS:13|Прикажите им уничтожить эти Ядерные Реакторы, после чего «мы» вышлем вам дополнительную информацию.
FARMS:14|Остерегайтесь этого Ядерного Реактора, он поврежден, и вокруг него разлиты ядерные отходы.
FARMS:15|«Мы» нашли еще два Ядерных Реактора, но они находятся внутри города.
FARMS:16|Посадите Фина и Ализ в этот Камаз, его украл один из «наших» агентов.
FARMS:17|Этот агент также раскрыл расположение остальных Ядерных Реакторов.
FARMS:18|Основная угроза устранена и «наши» силы немедленно очистят заставу противника.
FARMS:19|Внимание - Приближаются вражеские войска. Держать строй!
FARMS:02|Задача 2: Защитить три дороги до прибытия МСЦ.
FARMS:21|Охраняйте районы дислокации и не позволяйте врагам взять контроль в них.
FARMS:22|«Мы» можем получить дополнительные ресурсы, уничтожив Дробилки и Пер.Комбинаты сил Эпсилон.
FARMS:23|"Мы" были обнаружены, воздушный флот сил Эпсилон мобилизован!
FARMS:24|«Наши» позиции разгромлены, а МСЦ попали в засаду. МИССИЯ ПРОВАЛЕНА.
FARMS:25|Время до прибытия МСЦ:
FARMS:26|Прибыли основные силы наступления, скоро будут развернуты «наши» МСЦ.
FARMS:27|Усилитель Контроля над Разумом был уничтожен. Теперь у Юрия нет запасного плана для защиты Москвы.
FARMS:28|«Мы» успешно обнаружили и ликвидировали все "Кулаки Сталина" и военные заводы в городе.
FARMS:29|Уничтожьте этот Усилитель Контроля над Разумом, чтобы сломить резервный план Юрия.
FARMS:20|«Нам» необходимо удержать нашу нынешнюю позицию.
FARMS:03|Задача 3: Уничтожить все «Кулаки Сталина» и военные заводы сил Эпсилон.
FARMS:31|«Нам» нужно выбрать отряд, который будет следовать вашим указаниям на протяжении всего боя.
FARMS:32|Район дислокации очищен.
FARMS:33|«Мы» успешно захватили эти три опорных пункта, через некоторое время прибудут наши МСЦ и основные силы.
FARMS:34|Наступление противника было гораздо более жестоким, чем «мы» себе представляли.
FARMS:35|Используйте Хроносферу, чтобы укрепить «нашу» крепость, но учтите, что это стоит денег.
FARMS:36|Если две другие крепости понесут тяжелые потери, для их поддержки также можно использовать Хроносферу.
FARMS:37|Шоссе взято под контроль силами противника, подкрепление «наших» МСЦ в опасности!
FARMS:38|Зона высадки взята под контроль противником, «наше» подкрепление МСЦ в опасности!
FARMS:39|Мост разрушен силами противника, «наши» автотранспортные подкрепления в опасности!
FARMS:30|«Нам» удалось, сейчас производственные мощности Эпсилона очень слабы, пора дать отпор!
FARMS:04|Задача 4: Уничтожить Усилитель Контроля над Разумом.
FARMS:41|Время до контратаки войск Эпсилон:
FARMS:42|Сигнал от этого Усилителя Контроля Разума еще очень слабый, но он уже взял под контроль часть китайских войск.
FARMS:43|Если «мы» их спасем, они присоединятся к нашей борьбе с Юрием.
FARMS:44|«Мы» больше не можем уничтожить оставшиеся Ядерные Реакторы. МИССИЯ ПРОВАЛЕНА.
FARMS:45|Прибыл небольшой отряд, состоящий из "Рудокопов-Муравьев" и пехотного подкрепления.
FARMS:46|Шоссе должно находится под «нашим» контролем, не позволяйте вражеским силам устроить засаду на «наши» МСЦ.
FARMS:47|Зона высадки должна находиться под «нашим» контролем, не дайте силам противника устроить засаду на «наши» МСЦ.
FARMS:48|Мост должен находился под «нашим» контролем, не позволяйте вражеским силам устроить засаду на «наши» МСЦ.
FARMS:49|Поскольку силы Эпсилон больше не могут производить бронетехнику, "наши" шпионы смогли легко изучить их базу.
FARMS:05|Задача 5: Уничтожить базу сил Эпсилон.
FARMS:50|Цель достигнута, Сталинград освобожден, а Усилителя Контроля над Разумом больше нет!
FARMS:06|Внимание - За базой Эпсилон обнаружено большое количество неизвестных летательных аппаратов!
FARMS:07|«Наша» главная военная кампания по возвращению России начнется отсюда, со Сталинграда.
FARMS:08|В этом городе расположены важные заводы техники Эпсилон и резервный Усилитель Контроля над Разумом.
FARMS:09|Прежде чем начать атаку, «мы» должны уничтожить Ядерные Реакторы, для отключения защитных структур города.
FARMS:40|Фин: «Готово, теперь «нам» нужно ехать в Москву».
FARMS:10|Внимание: Передача «нашей» технологии была перехвачена. Это, должно быть силы Эпсилон!
FARMS:52|Фин погиб, теперь «мы» не сможем выполнить эту миссию. МИССИЯ ПРОВАЛЕНА.
FARMS:51|Ализ погибла, теперь «мы» не сможем выполнить эту миссию. МИССИЯ ПРОВАЛЕНА.
MAP:FARMS|Фанатская Миссия - Братья по Оружию
NAME:STALINGRADUNKNOWNDEATHHAND|Неизвестное Воздушное Судно
FSPPUR:14|Во время одной из атак на силы Эпсилон "мы" обнаружили, что Пси-Маяк в Сендае, Япония, неисправен, а китайские
FSPPUR:04|Задача: Уничтожить Усилитель Контроля над Разумом.
FSPPUR:07|Подсказка: Из-за неисправности Пси-Маяка, "мы" можем освободить войска, просто уничтожив его.
FSPPUR:08|Силы Тихоокеанского Фронта пришли в себя, и их командующий решил присоединиться к «нам».
FSPPUR:13|Китайская армия пришла в себя, и решила присоединиться к "нам" чтобы разгромить армию сил Эпсилона здесь.
FSPPUR:09|Спаситель, «мы» успешно уничтожили Усилитель Контроля над Разумом, «нам» удалось!
FSPPUR:11|«Мы» послали несколько "Провидцев", чтобы помочь вам в вашей битве, пожалуйста, берегите их, спаситель!
FSPPUR:10|Войска прибыли на поле боя. "Инженеров" можно использовать для захвата заброшенного форпоста союзников.
FSPPUR:12|«Мы» нашли расположение заставы противника, но не понимаем, зачем здесь столько бочек с нефтью.
FSPPUR:05|Спаситель, Инженеры Тихогоокеанского Фронта сообщили "нам" плохие новости.
FSPPUR:01|Внимание - Десант сил Эпсилон приближаются!
FSPPUR:02|Похоже, что эта база союзников все еще находится под воздействием Усилителя Контроля над Разумом.
FSPPUR:03|Усилитель Контроля над Разума восстановлен, все превратились в марионеток Юрия. МИССИЯ ПРОВАЛЕНА.
FSPPUR:TIMER|Времени, до завершения ремонта Усилителя Контроля над Разумом:
FSPPUR:06|Их Устройство Управления Погодой вышло из строя, теперь они пытаются его починить.
FSPPUR:15|войска, находящиеся под его контролем, находятся в состоянии хаоса. Мы направили команду для штурма Сендая.
FSPPUR:16|Спаситель, ваша задача - уничтожить здесь Усилитель Контроля над Разумом и освободить здешние войска.
FSPPUR:17|Юнру возлагает большие надежды на эту операцию, так что не подведите ее!
FSPPUR:18|Важно отметить, что силы Эпсилон уже начал ремонт Усилителя Контроля над Разумом.
FSPPUR:19|Мы должны уничтожить его до того, как они смогут завершить ремонт!
BRIEF:FSPPUR|В ходе одной из военных операций "нам" стало известно, что усилитель контроля разума в Сендае, Япония, был поврежден по неизвестной причине, а расположенная там исследовательская база A5 Советского Союза была приведена в беспорядок и начала атаковать все цели. Ваша миссия - уничтожить усилитель контроля разума и освободить город от всех вражеских военных сил.\n\nЗадача: Уничтожить Усилитель Контроля над Разумом.\n
LOADBRIEF:FSPPUR|Задача: Уничтожить Усилитель Контроля над Разумом.
LOADMSG:FSPPUR|Операция: Очищение Духа, Место: Сендай, Япония
MAP:FSPPUR|Фанатская Миссия - Очищение Духа
POST:FSPPUR|...
BRIEF:FABYSS|Товарищ, силы Эпсилон активировали Терминатор Разума, теперь весь мир находится под их контролем. Но есть места, где сигнал настолько сильно экранирован, что Терминатор Разума не может управлять людьми, которые там находятся. А удаленное место в Хуздаре (Пакистан) способно блокировать радиоволны, посылаемые Терминатором Разума.\nК счастью, там размещены войска Китая. Но позволит ли им Юрий "выйти им сухими из воды"? Не так давно закаленный в боях Пси-Корпус тайно установила там Пси-Маяк, и теперь все китайские войска в Хуздаре находятся под контролем сил Эпсилон.\nОднако мы не останемся в стороне. Мы отправим туда ближайшую армию Авангарда Головы Акулы, чтобы уничтожить этот Пси-Маяк. Если нам удастся заполучить эту большую группу китайских войск, то наши шансы на победу значительно возрастут. Однако из-за ограниченного количества наших войск, средств и огромного количества вражеских войск эта миссия является коварной, и вы, вероятно, единственный, кто может выполнить ее сейчас.\n\nЗадача 1: Расчистить территорию для базы.\nЗадача 2: Уничтожить Пси-Маяк.\nЗадача 3: Уничтожить всех врагов.\n\n
LOADMSG:FABYSS|Операция: Бездна, Место: Хуздар, Пакистан.
LOADBRIEF:FABYSS|Задача 1: Расчистить территорию для базы.\nЗадача 2: Уничтожить Пси-Маяк.\nЗадача 3: Уничтожить всех врагов.
FABYSS:04|Здравствуйте, командир.
FABYSS:05|Мы решили отправить M.A.D.M.A.N., чтобы уничтожить большинство врагов на заставе.
FABYSS:06|После того, как он взорвется, мы отправим отряд, чтобы зачистить этот аванпост.
FABYSS:07|Чтобы освободить место для строительства базы.
FABYSS:08|M.A.D.M.A.N. прибыл.
FABYSS:09|- Соединение с полем боя -
FABYSS:10|Задача 1: Расчистить территорию для базы.
FABYSS:12|МСЦ прибыл.
FABYSS:13|Командир, чтобы усилить Сопротивление Фоэн, начальство решило
FABYSS:14|уничтожить Пси-Маяк, развернутый здесь для контроля значительной части китайской армии.
FABYSS:15|Наши Самолеты-Разведчики точно определили его местоположение.
FABYSS:16|Он развернут здесь.
FABYSS:17|По данным нашей разведки, это самый безопасный путь к Пси-Маяку.
FABYSS:18|Вы должны продвигаться по левому фронту.
FABYSS:19|Не беспокойтесь, командир.
FABYSS:20|Из-за слабого сигнала из внешнего мира Терминатор Разума не может воздействовать на это место напрямую.
FABYSS:21|Задача 2: Уничтожить Пси-Маяк.
FABYSS:22|Плохие новости, командир.
FABYSS:23|Армия сил Эпсилон запросила большое количество подкреплений.
FABYSS:24|Наши подкрепления также направляются к вам.
FABYSS:27|Внимание - Замечено большое количество подконтрольных китайских войск, направляющихся сюда.
FABYSS:28|Внимание - Китайская армия организует крупное наступление!
FABYSS:29|Внимание - Армия сил Эпсилон организует крупное наступление!
FABYSS:30|На поле боя прибыло наше подкрепление.
FABYSS:31|Командир, у Китая здесь находится Тактическая Ядерная Шахта.
FABYSS:32|Уничтожьте его или предотвратите ядерную атаку с помощью "Подавителя Сигналов" или "Енота" создав помехи.
FABYSS:33|Началось массированное наступление китайской армии!
FABYSS:34|Начинается массированная атака армии сил Эпсилон!
FABYSS:35|Силы Эпсилон и Китай концентрируют воздушные силы для бомбардировки ваших баз!
FABYSS:36|Большое количество дружественных войск прибыло на поле битвы, чтобы помочь вам в контратаке!
FABYSS:37|Аэродромы были уничтожены, подкрепления противника резко сократились.
FABYSS:38|Радар был уничтожен, численность вражеских войск резко сократилась.
FABYSS:39|С прибытием дружественных войск ударные силы противника были значительно ослаблены.
FABYSS:40|Поскольку противник потерял аэродром, мы получили контроль над воздушным пространством.
FABYSS:41|В связи с получением воздушного превосходства в поддержку направляется дополнительная огневая мощь с воздуха.
FABYSS:42|Пси-Маяк был уничтожен.
FABYSS:44|Китайская армия пришла в себя.
FABYSS:45|Эти китайские войска согласились присоединиться к нам.
FABYSS:46|Чтобы быстрее эвакуировать эти китайские войска, необходимо уничтожить базу сил Эпсилон.
FABYSS:47|Задача 3: Уничтожить всех врагов.
FABYSS:49|Мы приобрели несколько боевых машин, которые нам предоставила Китайская армия.
FABYSS:50|Все основные объекты сил Эпсилон были уничтожены.
FABYSS:52|Теперь мы можем спокойно перебросить эти китайские войска ......
FABYSS:53|Плохие новости, командир! Нас обманули!
FABYSS:54|Получено сообщение от нашего "Провидца", проникшего в Радар сил Эпсилон.
FABYSS:55|Юрий планирует запустить сюда ядерную ракету!
FABYSS:56|Он хочет нас уничтожить!
FABYSS:57|Однако есть и хорошие новости.
FABYSS:58|Мы получили и модернизировали Хроносферу союзников.
FABYSS:59|Теперь она может телепортировать большое количество войск одновременно.
FABYSS:60|Теперь она может телепортировать даже живые объекты.
FABYSS:61|Запускается обновленная версия Хроносферы...
FABYSS:62|Внимание - Обнаружена ядерная ракета!
FABYSS:25|Внимание - Пси-Маяк в процессе активации!
FABYSS:26|Мы спрогнозировали, когда он активируется.
FABYSS:48|Времени, до активации Пси-Маяка:
FABYSS:51|Внимание - Пси-Маяк вот-вот активируется!
FABYSS:43|Пси-Маяк активирован. МИССИЯ ПРОВАЛЕНА.
FABYSS:11|Фин и Ализ отправляются вам на помощь.
FABYSS:01|Фин был тяжело ранен и был удален с поля боя, чтобы спасти его жизнь!
FABYSS:02|Ализ была тяжело ранена и была удалена с поля боя, чтобы спасти ее жизнь!
FABYSS:03|На поле боя прибыло небольшое подкрепление.
POST:FABYSS|Под вашим умелым руководством мы успешно спасли большую группу китайских войск и доставили их в штаб-квартиру с помощью Хроносферы. Теперь, у нас достаточно сил для борьбы с Юрием, он будет очень разочарован.
FABYSS:TIP1|Подсказка: Уничтожьте Аэродромы и Радар, это уменьшит количество подкреплений сил Эпсилон.
FABYSS:TIP2|Подсказка: Теперь вы можете строить взлетно-посадочные полосы для истребителей.
FABYSS:TIP3|Подсказка: Мы пожертвовали скоростью бомбардировщика "Львиное Сердце", чтобы укрепить его броню.
FABYSS:TIP4|Но из-за высокого расхода ресурсов, мы смогли построить только два бомбардировщика "Львиное Сердце".
FABYSS:TIP5|Подсказка: Мы пожертвовали броней "Черного Ястреба", чтобы увеличить его скорость.
FABYSS:TIP6|Подсказка: Мы пожертвовали скоростью штурмовика "Кондор", чтобы усилить его броню.
FABYSS:TIP7|Подсказка: Мы получили права на строительство "Тарана" и "Станции Аланка".
MAP:FABYSS|Фанатская Миссия - Бездна
FBONDEC:01|Ради великой цели мы приехали сюда, на африканский континент.
FBONDEC:02|Рашиди: "Я ждал вас очень долго. Я уверен, что мы придем к соглашению."
FBONDEC:03|Рашиди: "Моя жизнь в опасности. Гигантская штука прочесывает мою базу, а Юрий угрожает мне."
FBONDEC:04|Рашиди: "Я понял, что все это - тупик. Поэтому мне срочно нужно работать с вами."
FBONDEC:05|Рашиди: "Я думаю, что обмен MIDAS на установку "Тополь" и целую армию китайской техники был бы обоюдовыгодный."
FBONDEC:06|Командир: "Лидер полностью согласна с вашим предложением. С сегодняшнего дня мы будем в "одной лодке"."
FBONDEC:07|Пилот Призрака: "Это Рашиди! Он заключил сделку с китайцами! Необходимо сообщить об этом в командный центр!"
FBONDEC:08|Рашиди: "Нет, нет, нет! Мы не должны были быть обнаружены, сейчас я не могу противостоять Юрию.
FBONDEC:23|Нажмите на флаг сил Эпсилон, чтобы временно получить контроль над силами "Ячейки Скорпион",
FBONDEC:10|Получен временный контроль над силами "Ячейки Скорпион".
FBONDEC:11|Получен временный контроль над гвардией Юнру.
FBONDEC:12|Задача 1: Уничтожьте все истребители "Призрак" и аэродромы Пси-Корпуса, пытающиеся спастись бегством.
FBONDEC:13|Истребитель "Призрак" сбежал, наша встреча с Рашиди раскрыта! МИССИЯ ПРОВАЛЕНА.
FBONDEC:14|Все истребители "Призрак" уничтожены, десант в пути.
FBONDEC:16|Аэродром Пси-Корпуса обнаружен.
FBONDEC:17|Два истребителя "Призрак" взлетели.
FBONDEC:18|Рашиди: "Я передал вам боеголовки MIDAS. Я хочу, чтобы вы доставили пусковую установку "Тополь" на мою базу."
FBONDEC:19|Рашиди подготовил специальное место для парковки "Тополя",
FBONDEC:20|Задача 2: Доставить установку "Тополь" на базу Рашиди.
FBONDEC:21|Гвардия Юнру конвоирует установку «Тополь», прибыли новые войска Юнру.
FBONDEC:22|Рашиди: "Я верю, что эти элитные войска непобедимы. Ура!"
FBONDEC:26|Рашиди: "Мой личный отряд уже в пути. За безопасность "Тополя" отвечаете вы!"
FBONDEC:27|Прибыли дополнительные войска Юнру.
FBONDEC:28|Рашиди: "Контроль над этой базой принадлежит вам, используйте ее с умом."
FBONDEC:29|Времени до прибытия конвоя за установкой "Тополь":
FBONDEC:30|Обнаружено большое количество вражеской бронетехники!
FBONDEC:31|Обнаружено большое количество аномальной активности!
FBONDEC:32|Установка "Тополь" передана.
FBONDEC:33|Рашиди: "Установка «Тополь» уничтожена. Мы остались с носом!"
FBONDEC:34|Командир Эпсилон: "Рашиди, мастер Юрий ожидал этого от тебя."
FBONDEC:35|Командир Эпсилон: "Рашиди, это сюрприз для тебя от мастера Юрия."
FBONDEC:36|Командир Эпсилон: "Ещё никто не выживал, предав нас. Рашиди, не забывай, кто подарил тебе свободу!"
FBONDEC:37|Пси-Маяк быстро перезаряжается! Мы должны уничтожить его как можно скорее!
FBONDEC:38|Времени до полной зарядки Пси-Маяка:
FBONDEC:39|Командир Эпсилон: "Да здравствует Эпсилон! Слава Юрию! Повинуйтесь!"
FBONDEC:40|Лидер была проинформирована об этом.
FBONDEC:41|Телеграмма Юнру: "В таком случае нам придется перебить их всех."
FBONDEC:42|Телеграмма Юнру: "Эти прототипы - высокопрочные танки. Думаю, их более чем достаточно, для расправы с ними."
FBONDEC:43|Телеграмма Юнру: "Я сообщила Рашиди. Как только вы уничтожите Пси-Маяк, он немедленно эвакуируется."
FBONDEC:44|Телеграмма Юнру: "Подкрепление в пути, новые танки, способные вывести из строя удаленную вражескую технику."
FBONDEC:45|Задача 3: Уничтожить Пси-Маяк.
FBONDEC:46|Задача 3: Уничтожить Пси-Маяк до того, как он сработает.
FBONDEC:47|Внимание: Пси-Корпус использует контролируемые американские и советские войска!
FBONDEC:48|Рашиди: "Земля гибнет, Африка погружается во мрак, мне негде спрятаться."
FBONDEC:49|Телеграмма Юнру: "Вы заставили нас потерпеть беспрецедентное поражение и погубили наших союзников!"
FBONDEC:50|Рашиди: "Спасибо за вашу доблестную борьбу за мое возвращение из мертвых."
FBONDEC:51|Рашиди: "После этого боя решающая битва между мной и Юрием неизбежна."
FBONDEC:52|Рашиди: "Я провел тщательную подготовку, и мои войска захватили пси-сеть в Африке.
FBONDEC:25|Рашиди: "Юрий, за что, черт возьми, он борется? Он всегда приносит разрушение!"
FBONDEC:54|Рашиди: "Устройство, которое Юрий привез в Африку погубит мир! Нас ждут лишь реки крови и руины!"\n
FBONDEC:55|Рашиди: "Я решил бороться с ее хозяевами до конца. Ради земли, давшей мне жизнь, ради лучшего завтра!"
FBONDEC:56|Эти прототипы будут под вашим контролем до конца битвы.
FBONDEC:57|Мы нашли региональные спутниковые карты из этого заброшенного спутникового центра.
FBONDEC:58|В этой шахте есть кое-какие припасы.
FBONDEC:59|Секретный танк "Железный Дракон" теперь в вашем распоряжении.
FBONDEC:60|Под этими промышленными руинами погребены неизвестные запасы.
FBONDEC:61|Рашиди: "Командир, вы очень ловко нашли мой дворец! Мои элитные войска в вашем распоряжении."
FBONDEC:62|Рашиди: "Что вы делаете! Почему вы разрушаете мой дворец! Для вас все кончено!"
FBONDEC:63|Получено Достижение: "От начала до конца!"
FBONDEC:64|Старик: "Я скоро покину этот мир. Бог простит мое сломанное тело, так какой же смысл не быть счастливым?"
FBONDEC:65|Фермер: "Не надо! Не надо! Мне нелегко обрабатывать землю, пожалуйста! Не ступайте на мою землю! А-а-а-а!"
FBONDEC:66|Фермер: "Господин не надо! Вы только пощадите мою жизнь! Пощадите. Вы... Злодеи..."
FBONDEC:67|Внимание: Бочки с маслом в этом районе вот-вот взорвутся!
FBONDEC:68|Рашиди: "Молодец! Ты уничтожил все Чаны Клонирования Пси-Корпуса."
FBONDEC:70|Командующий Африканским корпусом Советского Союза: "Один неверный шаг - и все потеряно.
FBONDEC:69|Местность по левую сторону от Пси-Маяка хорошо защищена. Правую сторону, похоже, пробить будет легче.
FBONDEC:15|Рашиди: "Опасность устранена, и я думаю, мы сможем продолжать работать вместе."
FBONDEC:73|Рашиди: "Спасибо за ваше доблестное командование."
BRIEF:FBONDEC|Мы отправляемся на африканский континент, и нашей целью здесь будут переговоры с тайной личностью в стане врага. Похоже что у нас с ним есть общие интересы. Необходимо любой ценой обеспечить конфиденциальность этой встречи...\n\nЗадача 1: Уничтожьте все истребители "Призрак" и аэродромы Пси-Корпуса.\nЗадача 2: Следовать дальнейшим указаниям в миссии.
LOADBRIEF:FBONDEC|Задача: Выполнить все указания поступающие во время миссии.
LOADMSG:FBONDEC|Операция: Декомпозиция Мозга, Место: Марокко, Африка
MAP:FBONDEC|Фанатская Миссия - Декомпозиция Мозга
POST:FBONDEC|...
FBONDEC:09|Это сооружение в ваших руках, я доверяю вам все свое состояние!"
FBONDEC:24|или на флаг Китая, чтобы временно получить контроль над гвардией Юнру.
FBONDEC:53|Несмотря на неуверенность в победе, у меня нет другого выбора, кроме как нести это бремя."
FBONDEC:71|Я не так искусен, как другие, и мне нечего сказать. Я собираюсь провести остаток жизни, ловя рыбу в реке.
FBONDEC:72|Глядя на север, я стыжусь своей страны."
FBONDEC:74|Рашиди: "Если бы у меня был такой командир, как вы, не было бы причин беспокоиться о великих делах!"
LOADMSG:FGLEAM|Операция: Отражение, Место: Макран, Пакистан.
LOADBRIEF:FGLEAM|Задача 1: Сопроводить прототипы оружия и важные научно-исследовательские объекты до подземного туннеля.\nЗадача 2: Очистить гавань от сил Эпсилон.\nПримечание: Хотя бы один "Гавиал" должен уцелеть.
BRIEF:FGLEAM|"Мы" успешно совершили переброску своих сил и достигли конечного места эвакуации. По неизвестным причинам местный гарнизон, ожидающий встречи с "нами", сражается с войсками сил Эпсилон. В данный момент движение "наших" сил затруднено...\n\nЗадача 1: Сопроводить прототипы оружия и важные научно-исследовательские объекты до подземного туннеля.\nЗадача 2: Очистить гавань от сил Эпсилон.\n\nПримечание: Хотя бы один "Гавиал" должен уцелеть.\n
POST:FGLEAM|По сообщению гарнизонных войск, транспортное судно с "Тюремной Машиной Дракув" было эвакуировано из гавани под прикрытием вражеских сил.\n
FGLEAM:02|Порт, первоначально запланированный для эвакуации припасов и персонала, теперь захвачен силами Эпсилон.
FGLEAM:01|Согласно собранным данным, здесь собираются войска Пси-Корпуса.
FGLEAM:03|Ожидавшие "нас" местные войска отражают нападения противника.
FGLEAM:04|Ситуация неблагоприятная, "мы" должны перевезти прототипы оружия и важные научно-исследовательские
FGLEAM:05|во временное убежище в подземных туннелях.
FGLEAM:06|Оборонительные линии гарнизона рушатся, и «нам» нужно ускориться.
FGLEAM:07|Оставшееся время до прибытия сюда отряда для сопровождения:
FGLEAM:08|Внимание: Обнаружена необычная подземная активность!
FGLEAM:09|Прибыло дополнительное подкрепление.
FGLEAM:11|Похоже, что силам Эпсилон не удалось установить этот Пси-Маяк.
FGLEAM:12|Внимание: Обнаружено большое количество вражеских войск!
FGLEAM:13|Мост разрушен, и «нам» нужно найти другой путь вперед.
FGLEAM:14|Прототип оружия "А" вошел в подземный туннель.
FGLEAM:15|Транспортер "Б" вошел в подземный туннель.
FGLEAM:16|Транспортер "В" вошел в подземный туннель.
FGLEAM:17|Транспортер "Г" вошел в подземный туннель.
FGLEAM:18|Задача 1: Сопроводить прототипы оружия и важные научно-исследовательские объекты до подземного туннеля.
FGLEAM:19|Еще не до конца разработанный транспортер "Гавиал" претерпел ряд дополнений и изменений.
FGLEAM:20|Он готов к бою, но не должен быть уничтожен весь. Т.к. это тестовые образцы.
FGLEAM:23|Все прототипы оружия и важные научно-исследовательские объекты благополучно вошли в подземные туннель.
FGLEAM:26|Группа для сопровождения прибыла в назначенное место.
FGLEAM:27|"Мы" должны быть начеку, ожидая появления сил Эпсилона.
FGLEAM:28|"Мы" получили контроль над основными объектами базы.
FGLEAM:31|Транспортеры "Гавиал" полностью уничтожены. МИССИЯ ПРОВАЛЕНА.
FGLEAM:32|Прототип оружия "А" был уничтожен. МИССИЯ ПРОВАЛЕНА.
FGLEAM:33|Транспортер "Б" был уничтожен. МИССИЯ ПРОВАЛЕНА.
FGLEAM:34|Транспортер "В" был уничтожен. МИССИЯ ПРОВАЛЕНА.
FGLEAM:35|Транспортер "Г" был уничтожен. МИССИЯ ПРОВАЛЕНА.
FGLEAM:36|"Мы" могли бы использовать транспортные корабли для перемещения грузов,
FGLEAM:37|тем самым обходя лобовое столкновение с силами Эпсилон.
FGLEAM:38|Координаты базы сил Эпсилон в гавани были определены.
FGLEAM:39|Стоит отметить, что на базе было развернуто неизвестное устройство с чрезвычайно высокой психической энергией.
FGLEAM:40|«Нам» нужно быть осторожными.
FGLEAM:41|Задача 2: Очистить гавань от сил Эпсилон.
FGLEAM:30|--- Соединение с полем боя ---
FGLEAM:24|В этой лаборатории хранятся некоторые данные по проекту "Железный занавес" и технологии столкновения частиц.
FGLEAM:25|Для решения этой проблемы могут быть отправлены «наши» Инженеры.
FGLEAM:21|Чертеж танка «Железный Дракон» загружен в базу данных.
FGLEAM:22|Чертежи танка «Буран» загружены в базу данных.
FGLEAM:10|Внимание: Обнаружен неопознанный гигантский летающий аппарат!
FGLEAM:29|Гавань в основном зачищена от вражеских сил, теперь "мы" можем перейти к следующему этапу "нашего" плана.
MAP:FGLEAM|Фанатская миссия - Отражение
FGLEAM:42|Наш "Енот" способен парализовать системы управления оружием, делая их неспособными наносить урон.
LOADBRIEF:FDCITY|Задача: Выжить.
LOADMSG:FDCITY|Операция: Город Мертвецов, Место: Неизвестно.
BRIEF:FDCITY|Из-за эксперимента вы случайно попадаете в зомби-апокалипсис, вам остается только найти способ выжить и выбраться отсюда...
FDCITY:008|Якумо: "Умри, умри, умри".
FDCITY:009|Якумо: "Это была просто забава, чтобы посмотреть, что произойдет, если мы используем машину времени".
FDCITY:010|Якумо: "Я не ожидала, что попаду в такое призрачное место, в живую версию Resident Evil?"
FDCITY:011|Якумо: «Хотела бы я сняться в кино, но я все равно хочу быть просто зрителем такого рода фильмов».
FDCITY:012|Якумо: "А та сестренка, что отвлекла на себя большую часть зомби, наверняка сдохнет не понятно где, хаха".
FDCITY:013|Якумо: "Гадина, если ты умрешь раньше, чем я тебя найду, я тебя выпорю".
FDCITY:014|Якумо: "А? Что это за шум?"
FDCITY:015|Якумо: «Это… Дрон Ужаса?»
FDCITY:016|Волкнет ИИ: "Подтверждение личности... командир Якумо"
FDCITY:017|Якумо: "VOLKNET ИИ... Да?"
FDCITY:018|VOLKNET ИИ: "Да, поскольку вы сбежали на машине времени, я вживил свой ИИ в этот Дрон, чтобы он нашел вас".
FDCITY:019|VOLKNET ИИ: "Точно, машина времени, она нам понадобится, если мы захотим вернуться назад."
FDCITY:020|VOLKNET ИИ: «Вы забыли выключить таймер на машине времени. Она автоматически вернется, когда время истечет».
FDCITY:021|VOLKNET ИИ: "Этот звук.. не может быть..."
FDCITY:022|VOLKNET ИИ: "Это звук машины времени, телепортирующейся назад".
FDCITY:023|Якумо: "Вот дерьмо......"
FDCITY:024|VOLKNET ИИ: «Вы должны переманить на себя большую часть зомби, а я позабочусь об остальном.».
FDCITY:025|Якумо: "Ах... Это не то, что меня беспокоит, хотя, нет, это тоже повод для беспокойства..."
FDCITY:001|VOLKNET ИИ: "Не волнуйтесь, у вас есть способ вернуться, на этом Дроне устройство связи с гипердвигателем,
