DESC:ABLUT|Blut Royale (A)
DESC:LOADEDBRL|(2) Loaded Barrel
DESC:LOSTLAKE|(4) Lost Lake
DESC:LTBF|(2) Let There Be Fight
DESC:MEATGRINDER|(2) Meat Grinder
DESC:MO230|(2) Escalation
DESC:MO246|(2) Polar Nights
DESC:MO247|(2) Isolation Isle
DESC:MO250|(2) Tournament Arena
DESC:MO251|(2) Battlebase Beta
DESC:MO252|(2) Pirate Bay
DESC:MO253|(2) Pipeline Problem
DESC:MO254|(2) No Man's Land
DESC:MO255|(2) Forest Joust
DESC:MO256|(2) Knockout
DESC:MO257|(2) Freezing Field
DESC:MO258|(2) Tournament Tower
DESC:MO259|(2) Action Reaction
DESC:MO260|(2) Nevada Valley
DESC:MO261|(2) Amazonas Zeta
DESC:MO262|(2) Tokyo Drift
DESC:MO263|(2) Tikal
DESC:MO264|(2) Tournament City
DESC:MO265|(2) Artificial Ice
DESC:MO266|(2) Dune Patrol II
DESC:MO267|(2) Reconcile
DESC:MO268|(2) Dry Canyon
DESC:MO269|(2) Renaissance
DESC:MO270|(2) Burning Streets
DESC:MO271|(2) Canyon Fodder II
DESC:MO272|(2) Eye of Terror
DESC:MO273|(2) Frontier Duelists
DESC:MO274|(2) Suspect
DESC:MO275|(2) Steadfast
DESC:MO276|(2) Boracay
DESC:MO277|(2) Tournament Vale
DESC:MO278|(2) Tournament Dune
DESC:MO279|(2) Tournament Canal
DESC:MO280|(2) Hostility
DESC:MO281|(2) Canals of Carnage
DESC:MO282|(2) Dual Duel Redux
DESC:MO283|(2) Water Splash
DESC:MO284|(2) Twin Apex
DESC:MO285|(2) Mirror's Edge
DESC:MO286|(2) Exhausted Isle
DESC:MO287|(2) Chitzkoi's Iron Cages
DESC:MO288|(2) Usurpation
DESC:MO289|(2) Landslide
DESC:MO301|(3) Canyon Fodder III
DESC:MO302K|(3) Paradox Spiral K
DESC:MO305K|(3) Triple Threat K
DESC:MO306K|(3) Arch La Indigo K 
DESC:MO307K|(3) Pyroclasm K
DESC:MO313|(3) Mystery Town
DESC:MO314|(3) Norio's Dojo
DESC:MO315|(3) Ore Troika
DESC:MO316|(3) Rapid Trio
DESC:MO317|(3) Batchawana Bay
DESC:MO318|(3) Direttissima
DESC:MO319|(3) Laced River
DESC:MO410K|(4) Forestation K
DESC:MO412K|(4) Velillian Islands K
DESC:MO415K|(4) Deep Freeze K
DESC:MO417K|(4) Desertification K
DESC:MO419|(4) Coldest Peak
DESC:MO419K|(4) Coldest Peak K
DESC:MO421|(4) Divide and Conquer
DESC:MO426|(4) Turf War Redux
DESC:MO428|(4) Frozen Lands
DESC:MO436|(4) Tournament Island
DESC:MO444|(4) Kool Party
DESC:MO445|(4) Temple Toveena
DESC:MO446|(4) Peaceful Struggle
DESC:MO447|(4) Pinecone Island
DESC:MO448|(4) Canyon Fodder IV
DESC:MO449|(4) Battleblock Theatre
DESC:MO450|(4) Once Calm
DESC:MO451|(4) Double Patrol
DESC:MO452|(4) Lowlands
DESC:MO453|(4) Ebony and Ivory
DESC:MO454|(4) Eve of Destruction
DESC:MO455|(4) Tournament Complex
DESC:MO456|(4) Eternal Alliance
DESC:MO457|(4) Giant Hog Bay
DESC:MO458|(4) Overcome
DESC:MO459|(4) Sessions Pass
DESC:MO460|(4) Hellhound
DESC:MO461|(4) Morales' Sanctuary
DESC:MO462|(4) Libra's Playground
DESC:MO463|(4) Timberland
DESC:MO464|(4) Soldier Game
DESC:MO465|(4) Barran Valley
DESC:MO466|(4) Black's Big Battle
DESC:MO467|(4) Tournament Ridge
DESC:MO468|(4) Lady of the Lake
DESC:MO469|(4) Yuri Is Not Easy
DESC:MO470|(4) Advancement
DESC:MO471|(4) Fair and Square
DESC:MO472|(4) Division Delta
DESC:MO473|(4) Canals of Drainage
DESC:MO474|(4) Shivering Isle
DESC:MO475|(4) Two-Faced
DESC:MO476|(4) The Polaroblong
DESC:MO477|(4) Oppidan Cay
DESC:MO478|(4) Snow Feathers
DESC:MO479|(4) FinAlizeNation
DESC:MO480|(4) Eureka's Proving Grounds
DESC:MO481|(4) Big Town USA
DESC:MO482|(4) Central Channel
DESC:MO483|(4) Tournament Dune II
DESC:MO484|(4) Stratification
DESC:MO485|(4) Tropical Nights
DESC:MO486|(4) Upriver
DESC:MO487|(4) Face the Ocean Frog
DESC:MO488|(4) Fiordland
DESC:MO489|(4) Walk of Egypt
DESC:MO490|(4) Quatrain
DESC:MO503K|(5) Apocalypse Now K
DESC:MO604K|(6) DEFCON Six K
DESC:MO605|(6) Offensive Tactics
DESC:MO609|(6) Vertigo
DESC:MO610|(6) Gang War
DESC:MO612|(6) Advanced Warfare
DESC:MO613K|(6) Mount Mirage K
DESC:MO618|(6) Ravenous
DESC:MO619|(6) Misery Malice
DESC:MO620|(6) Battlebase Hexis
DESC:MO621|(6) Power Shift
DESC:MO622|(6) Malver's Sandbox
DESC:MO623|(6) Triviallakes
DESC:MO624|(6) Barren Grounds
DESC:MO625|(6) Bad Weather
DESC:MO626|(6) Yunru's Snowglass
DESC:MO627|(6) Mechanical Island
DESC:MO628|(6) Magmageddon
DESC:MO629|(6) Crazy Diamond
DESC:MO630|(6) Faith Bound
DESC:MO631|(6) Arabian Nights
DESC:MO632|(6) Battle Tendency
DESC:MO633|(6) Connection Cut
DESC:MO801|(8) Snow Snow Snow
DESC:MO805K|(8) Ore Pit K
DESC:MO815K|(8) Crosshair K
DESC:MO821K|(8) Wheel of Torture K
DESC:MO823K|(8) In Need Indeed K
DESC:MO828|(8) Stone Ocean
DESC:MO829|(8) Omega City
DESC:MO830|(8) Atomic Eight
DESC:MO831|(8) Blood Paint
DESC:MO832|(8) Made of Sand
DESC:MO833|(8) Icy Trinity
DESC:MO834|(8) Siegfried's Techzentrum
DESC:MO835|(8) Bridge Builder
DESC:MO836|(8) East Wind Valley
DESC:MO837|(8) Westernfield
DESC:MO838|(8) The Grand Stadium
DESC:MO839|(8) Grey Wind
DESC:MO840|(8) Bon Chat, Bon Rat
DESC:MO841|(8) Life in the Oasis
DESC:MO842|(8) Volkov's Dominion
DESC:MO843|(8) Clover Conflict
DESC:MO844|(8) Bay of Pigs III
DESC:MO845|(8) Tea Moon Cake
DESC:MO846|(8) Ridge Carnage Redux
DESC:MO847|(8) Cold Hard Truth
DESC:MO848|(8) Catching Fire
DESC:MO849|(8) Dedication
DESC:MO850|(8) Frozen Ripple
DESC:MO851|(8) World Rejector
DESC:MO852|(8) Stardust Crusaders
DESC:MOI23|(2) Swim Peaks
DESC:MOI24|(2) Oil Spill Crisis
DESC:MOI25|(2) Flood
DESC:MOI26|(2) Casual Encounter
DESC:MOI31|(3) Arizona Memorial
DESC:MOI44|(4) Zero Point
DESC:MOI45|(4) Death Bolt
DESC:MOI46|(4) Vanilla Ice Cream
DESC:MOI47|(4) Entwined
DESC:MOI61|(6) Loaded Dice
DESC:MOI62|(6) Rings of Power
DESC:MOI63|(6) Conquest
DESC:MOI85|(8) Arctic Thaw
DESC:MOI86|(8) Red Reef
DESC:MOI87|(8) Bridge Rejector
DESC:MOP41|(4) Inside Story [24]
DESC:MOP42|(4) Convergence [24]
DESC:MOP43|(4) Valley of Hell [24]
DESC:MOP44|(4) Highway to Hell [24]
DESC:MOP45|(4) Chessboard [24]
DESC:MOP46|(4) Quartet [24]
DESC:MOP61|(6) Requiem [36]
DESC:MOP62|(6) Ridge Carnage [36]
DESC:MOP63|(6) Hourglass [36]
DESC:MOP64|(6) Turtle Kingdom [36]
DESC:MOP65|(6) Battle for Dune II [36]
DESC:MOP81|(8) Fight for Liberty [48]
DESC:MOP82|(8) Xtreme Wealth [48]
DESC:MOP83|(8) Snow Storm [48]
DESC:MOP84|(8) Ultima Arena [48]
DESC:MOP85|(8) Deadlands [48]
DESC:MOP86|(8) All-Out Oil Race [48]
DESC:NEWHEIGHTS|(2) New Heights
DESC:OADES|(4) Isle of Oades
DESC:OCEANSIDE|(4) Oceanside
DESC:OFFDEF|(4) Offense Defense
DESC:OTTERS|(4) Otters' Revenge
DESC:PHGHTS|(4) Pacific Heights
DESC:PKEG|(8) Powder Keg
DESC:POTOMAC|(6) Army of the Potomac
DESC:ROCKETS|(4) Rockets Red Glare
DESC:RUROUL|(8) Russian Roulette
DESC:SAHARAMI|(2) Sahara Mirage
DESC:SEDONA|(6) Sedona Pass
DESC:SINKHOLE|(4) Sinkhole
DESC:SNEEDLE|Needlehead (Soviets)
DESC:SOISO|(4) Sea of Isolation
DESC:SOVEREIGNLAND|(2) Sovereign Land
DESC:SRAVAGE|Ravages of War (Soviets)
DESC:SSOURCE|Money Source (Soviets)
DESC:STOWEATH|(4) Stormy Weather
DESC:STOXIC|Intoxicated (Soviets)
DESC:TERRITOR|(8) Territorial Imperative
DESC:TOE|(6) Tour of Egypt
DESC:TOWER|(4) Tower of Power
DESC:TRAILERPARK|(8) Trailer Park
DESC:TRIPLE|(6) Triple Crossed
DESC:TTG|(4) Tanya's Training Grounds
DESC:VALGIRL|(4) Death Valley Girl
DESC:VALLEY|(4) Valley of Gems
DESC:WIMPS|(4) No Wimps
DESC:WIMPSK|(4) No Wimps K
DESC:XBERMUDA|(6) Bermuda Triangle
DESC:YURIPLOT|(3) Yuri's Plot
GUI:CHALLENGE|Режим Вызова
GUI:PETROWAR|Битва: Нефтяная Война
GUI:PLAYERLEFTCOOP|Игрок %s покинул совместную игру.
GUI:PLAYMISSION|Начать Миссию
GUI:SURVIVAL|Битва: Выживание
GUI:TECHMIX|Битва: Смесь Технологий
NAME:4ARCH|1 Танк Харон
NAME:4CAVA|4 Танка Кавалер
NAME:4INFSQ|2 Призма-Танка
NAME:4THOR|1 Тор
NAME:ACTIVATE|Включить
NAME:ADEPT|Адепт Эпсилон
NAME:AHVYBOT2|Танк Будущего Альфа
NAME:AICLEG|Хроно Легионер
NAME:ALL|Аллигатор
NAME:AMBAS|Переговорщик
NAME:ARCH|Архелон
NAME:ARMA|Броненосец
NAME:ARSO|Поджигатель
NAME:ASA|Watchfrog
NAME:B52|Стратофортресс
NAME:BANE|Убийца Гигантов
NAME:BANE_N|Убийца Богов
NAME:BASIL|Василиск
NAME:BBEAR|Советский Боевой Медведь
NAME:BEACONACTIVE|ВНИМАНИЕ - Активирован Пси-Подчинитель!
NAME:BFRT|Боевая Черепаха
NAME:BIZON|Танк Бизон
NAME:BLACKOUTMISSILE|Отключающая Ракета
NAME:BLAST|Нагнетательный Барьер
NAME:BLASTACTIVE|ВНИМАНИЕ - Нагнетательная Печь активирована!
NAME:BLASTCHARGE|
NAME:BLASTDETECT|ВНИМАНИЕ - Обнаружена Нагнетательная Печь!
NAME:BLASTRUNNING| -ВКЛЮЧЕНО-  
NAME:BLIGHT|Налетчик
NAME:BOID|Артиллерийская Установка Анаконда
NAME:BOIDBLITZ|Бросок Анаконды
NAME:BOIDFIELD|Boid Field
NAME:BUZZ|Канюк
NAME:CAACAD|Академия
NAME:CAAERO|Авиастроительное КБ
NAME:CAAIRP|Гражданский Аэродром
NAME:CABANK|Гражданский Депозитный Банк
NAME:CABATT|Батарея Парадокса
NAME:CABORS|Статуя Бориса
NAME:CABUNK01|Гражданский Бетонный Бункер
NAME:CACORE|Суперкомпьютер
NAME:CACPTL|Капитолий
NAME:CADEFB|Бюро Оборонительных Операций
NAME:CADOCK|Военные Доки
NAME:CAFHOSP|Гражданский Госпиталь
NAME:CAFORT|Гражданская Бетонная Крепость
NAME:CAHMCH|Машиностроительный Цех
NAME:CALLBORIS|Вызвать Бориса
NAME:CAMAUS|Мавзолей Ленина
NAME:CAMEL|Верблюд
NAME:CAMORR06B|Owl & Friends
NAME:CAMUSE01B|Уяздовский Замок
NAME:CANRCT|Гражданская Атомная Электростанция
NAME:CAOILDOM|Нефтевышка
NAME:CAPRLT|Восточная Жемчужина
NAME:CARGR|Irritator Troop Crawler
NAME:CARUSHT|Национальный Исторический Музей
NAME:CASEIM|Сейм
NAME:CASING|Сингапурский Конгресс
NAME:CASTRF|Центр Технического Обслуживания
NAME:CAVHNG|Ангар ШтейнТек
NAME:CAWALL|Бетонная Стена
NAME:CAWSIR|Варшавская Русалка
NAME:CAYURST|Статуя Юрия
NAME:CBRIS|Космический Коммандо
NAME:CHAR|Харибда
NAME:CHMIN|Вызов Хроно-Рудокопов
NAME:CHRONOBOOST|Хроноускорение
NAME:CHRONODETECT|ВНИМАНИЕ - Обнаружена Хроносфера!
NAME:CHRONOLIFT|Хроноперенос
NAME:CHRP|Хроно-Тюрьма
NAME:CIVILIAN|Гражданский
NAME:CLAIR|Провидец
NAME:CMISLE|Ракета Акулы
NAME:CMON|Хроно-Рудокоп
NAME:CONF|Провокатор
NAME:CORONIA|Крылья Коронии
NAME:COUNTERGAP|RPCM System
NAME:COWW|Корова
NAME:CRATEDROP|Сброс Ящиков
NAME:CRISIS|Кризис
NAME:CRYC|Крио-Коммандо
NAME:CRYOCOMMAND|Крио-Коммандо
NAME:CTECHM|Техник
NAME:CYCL|Шагоход Циклоп
NAME:CZEP|Командирский Дирижабль Киров
NAME:DANGERZONE|Danger Zone
NAME:DBAT|Налетчик
NAME:DEPLOY|Вызвать
NAME:DESTINATION|Нажмите, чтобы выбрать это место как точку назначения
NAME:DEVI|Девиатор
NAME:DEVOURER|Пожиратель
NAME:DHAND|Рука Смерти
NAME:DIVER|Дрон-Камикадзе "Пчела"
NAME:DMISLE|Ракета Дредноута
NAME:DNOAA|Тиранозавр
NAME:DOMINDETECT|ВНИМАНИЕ - Обнаружен Пси-Подчинитель!
NAME:DRACO|Танк Дракон
NAME:DRACOD|Автоматическая Турель Дракона
NAME:DRONP|Прототип Дрона
NAME:DUPL|Дубликатор
NAME:DUST|Курильщик
NAME:EMPTY|
NAME:ENEMYSOLDIER|Вражеский Пехотинец
NAME:ENEMYSTR|Вражеское Здание
NAME:ENEMYVEH|Вражеская Техника
NAME:EPSILONHEADQUATERS|Штаб Эпсилон
NAME:EUREKA|Эврика
NAME:FAAREN|Проектор Мегаарены
NAME:FAAVAL|Испаритель
NAME:FABARR|Казармы Фоэн
NAME:FABARR_B|Улучшение Казарм: Протокол "Падение Рыцарей"
NAME:FABLST|Нагнетательная Печь
NAME:FABOID|Анаконда (Боевой Режим)
NAME:FABTRC|Нагнетательный Канал
NAME:FACLDP|Метеоцентр
NAME:FACLDP_B|Расширение Метеоцентра
NAME:FACNST|Сборочный Цех Фоэн
NAME:FACOAT|Регулятор Нанопокрытия
NAME:FACOMP|Усмиритель
NAME:FACONF|Дезориентирующая Сеть
NAME:FACORE|Ядро ВОЛКНЕТ
NAME:FACYBR|Кибернетический Центр
NAME:FACYBR_B|Расширение Киберцентра
NAME:FADROP|Маяк Падения Рыцарей
NAME:FAELEV|Творец Бурь
NAME:FAFILD|Парализующая Сеть
NAME:FAFNCE|Секция Ветровой Турбины
NAME:FAGREN|Placeholder Grand Cannon
NAME:FAGUAR|Гнездо Сорокопута
NAME:FAHARB|Башня Предвестника
NAME:FAINHI|Подавитель Сигналов
NAME:FAMMIN|Мина M.A.D. 
NAME:FAMSA|Содарная Установка (Рабочий Режим)
NAME:FANANO|Синтезатор Нановолокон
NAME:FANANO_B|Расширение Синтезатора Нановолокон
NAME:FAPOST|Ветровая Турбина
NAME:FARAIL|Рельсовая Башня
NAME:FAREFN|Перерабатывающий Комбинат Фоэн
NAME:FAREPR|Переработчик
NAME:FASONI|Резонаторная Турель
NAME:FASPIN|Крыльчатка
NAME:FASWPR|Водомерка (Боевой Режим)
NAME:FATRAP|Ветроуловитель
NAME:FAWALL|Стена Бастиона
NAME:FAWEAP|Военный Завод Фоэн
NAME:FAYARD|Верфь Фоэн
NAME:FDRON|Дрон Ярости
NAME:FENGINEER|Инженер Фоэн
NAME:FIN|Фин
NAME:FMCV|Мобильный Сборочный Цех Фоэн
NAME:GACLAB|Генератор Искажений
NAME:GANODE|Хроновышка
NAME:GAPOWR|Электростанция Альянса
NAME:GAPOWRUP|Улучшение Электростанции:\nУсовершенствованная Турбина
NAME:GAROD|Громоотвод
NAME:GAZEPH|Бот-Наводчик САУ Зефир
NAME:GEARCHANGE|Отладка Конвееров\nБонус +$3000
NAME:GHTNK|Гавиал
NAME:GIANTBANE|Убийца Гигантов
NAME:GREATTEMPEST|Великая Буря
NAME:GREATTEMPESTA|ВНИМАНИЕ - Активирован Творец Бурь!
NAME:GREATTEMPESTNO|Погодные условия в данный момент нестабильны. Активация отменена.
NAME:GREATTEMPESTS|Началась Великая Буря!
NAME:GRUMBLE|ЗРК Фаворит
NAME:HAIHEAD|Голова Акулы
NAME:HARBINGER|Предвестник
NAME:HBIRD|Колибри
NAME:HEALTHPACKS|Аптечки Дракува
NAME:HKAMAZ|Бронированный Грузовик
NAME:HORVV|Боевой Рудокоп
NAME:HUNTERSEEKER|Дрон-Охотник\n(Не более 5)
NAME:HUNTR|Охотница
NAME:HURR|Станция Аланка
NAME:IDRAG|Железный Дракон
NAME:IPBM|Рука Смерти
NAME:IRONDETECT|ВНИМАНИЕ - Обнаружен Генератор Железного Занавеса!
NAME:IRRADIATE|Облучение
NAME:JOSH|Обезьяна
NAME:JOSVITH|Grand Nanomaster Josvith
NAME:JUMPHOOKS|Jumphooks
NAME:KILLER|Killer King
NAME:KINGS|Королевский Рыцарь
NAME:KNIGHT|Рыцарь
NAME:KNIGHTFALL|Падение Рыцарей
NAME:KRUKOV|Крюков
NAME:LANCER|Улан
NAME:LANCERFALL|Lancerfall
NAME:LASTBASTION|Последний Бастион
NAME:LATINCONFEDERATION|Конфедерация
NAME:LEVI|Левиафан
NAME:LEVIDET|ВНИМАНИЕ - Предвестник прибыл на поле боя!
NAME:LIONH|Бомбардировщик Львиное Сердце
NAME:MAD|M.A.D.M.A.N.
NAME:MAGNET|Магнитный Луч
NAME:MAINT|Ремонт Зданий
NAME:MANAGE|Manage
NAME:MEGA|Мегалодон
NAME:MEGAARENA|Мегаарена
NAME:MIND|Повелитель Мысли
NAME:MONSTERCOME|До прибытия русских монстр-танков:
NAME:MOSAC|Дрон-Бомбардировщик
NAME:MSA|Содарная Установка
NAME:MSD|Graveller Device
NAME:NABNKRR|Боевой Бункер
NAME:NAEMPS|Станция Управления ЭМИ
NAME:NAFBUR|Полевое Разведбюро
NAME:NAFTUR|Огнеметная Башня
NAME:NAFURY|Развернутый Дрон Ярости
NAME:NAGRUM|Развернутый ЗРК Фаворит
NAME:NAIRDM|Железный Страж
NAME:NAMORT|Дымовая Турель
NAME:NANANA|Наноцентрифуга
NAME:NANOCHARGE|Нанозаряд
NAME:NANOFIBER|Синхронизация \nНановолокон
NAME:NANRCT|Ядерный Реактор
NAME:NAPOWR|Тесла-Реактор
NAME:NASCOM|Детекторная Вышка
NAME:NATRAPS|ЭМИ-Мины
NAME:NEGATIVESPIN|Negative Spin
NAME:NMIN|Рудокоп-Муравей
NAME:NSPAWN|
NAME:NUKEDETECT|ВНИМАНИЕ - Обнаружена Тактическая Ядерная Шахта!
NAME:ORCIN|Волнообразователь Косатка
NAME:PANTHER|Истребитель Танков Паладин
NAME:PERUN|Перун
NAME:PHNT|РСЗО Фантом
NAME:PHOEN|Феникс
NAME:POLARB|Белый Медведь
NAME:POST|Ветровая Турбина (Мобильный Режим)
NAME:POWERCONTROL|Grid Control
NAME:POWERREGEN|Восстановление Энергии
NAME:PRED|Удар Тенгу
NAME:PREDL|
NAME:PRESD|Президент Дьюган
NAME:PRISM|Призмогоплит
NAME:PROME|Мастодонт
NAME:PSYBREADYCAMP|До активации Пси-Маяка:
NAME:QUAD|Размыватель
NAME:QUETZ|Кетцаль
NAME:QUICK|Скачок
NAME:RACC|Енот
NAME:RAGEDETECT|ВНИМАНИЕ - Обнаружен Генератор Ярости!
NAME:RAIL|Рельсотронщик
NAME:RAMW|Таран
NAME:RANGER|Рейнджер
NAME:RECON|Разведывательный Зонд
NAME:RECONB|Грузовой Дрон
NAME:RECONSORTIE|Разведвылет
NAME:REZNOV|Резнов
NAME:RIOTT|Миротворец
NAME:ROADR|Скороход
NAME:SALA|Саламандра
NAME:SCDROCKET|Ракета Эльбрус
NAME:SDOG|Советский Боевой Пес
NAME:SEAT|Десантный Корабль Панцирь
NAME:SEEKERD|Глаза Кетцаля
NAME:SEEKERM|ПТ Мина
NAME:SEITAAD|Баллиста Сейтаад
NAME:SEIZER|Поработитель
NAME:SHARK|Акула-Ангел
NAME:SHRAY|Лучевой Танк Скат
NAME:SHRIKE|Сорокопут
NAME:SIBFIN|Фин
NAME:SICALI|Ализ
NAME:SIGJAM|Глушение Сигналов
NAME:SKYPHANTASM|Sky Phantasm
NAME:SLAV|Рабочий
NAME:SOVGEN|Советский Генерал
NAME:SPACEBARRAGE|Метеоритный Дождь
NAME:SPACEBARRAGED|ВНИМАНИЕ - Начался Метеоритный Дождь!
NAME:SPACEBARRAGENO|Метеоритный Дождь уже вызван. Активация отменена.
NAME:SPACEBARRAGEO|Искусственные метеориты вошли в атмосферу!
NAME:SPACEENGINEER|Инженер-Космонавт
NAME:SPOOK|Страшила
NAME:STARDUST|Парадокс
NAME:STORMABORT|Управление погодой уже происходит. Активация супероружия отменена.
NAME:STORMDETECT|ВНИМАНИЕ - Обнаружено Устройство Управления Погодой!
NAME:SUDDENACTIVE|ВНИМАНИЕ - Активирована Внезапная Смерть.
NAME:SUPPLYBUNKER|Бункер Снабжения
NAME:SURVIVAL|Вы выживете, если продержитесь:
NAME:SWEEPERDROP|Сброс Водомерок
NAME:SWORD|Меч-Рыба
NAME:SWPR|Водомерка
NAME:SYCKLE|Серп
NAME:SYNC|Синхронин
NAME:SYNC_N|Синхронавт
NAME:TARCHIA|Тархия
NAME:TEMPDETECT|ВНИМАНИЕ - Обнаружен Творец Бурь!
NAME:TERA|Тераторн
NAME:TERRORDROP|Десант Ужаса
NAME:TICKTRAP|Засада Клещей
NAME:TIMEFREEZE|Заморозка Времени
NAME:TOXICSTRIKE|Токсиновый Удар
NAME:TRACTOR|Падальщик
NAME:UNITEDSTATESOFAMERICA|Соединенные Штаты Америки
NAME:URAGAN|Ураган
NAME:V2|Пусковая Установка В-2
NAME:V2ROCKET|Ракета В-2
NAME:VENOM|Эволюционер
NAME:VIPER|Птеранодон
NAME:VISION|Предвидение
NAME:VISIONC|
NAME:WALLBUSTER|Стенолом
NAME:WHEELER|Wheeler
NAME:WHLR|Wheeler
NAME:WIDOW|Черная Вдова
NAME:WIMPSK|No Wimps K (2-4)
NAME:WINDGLOBE|Windglobe
NAME:WINDGLOBES|Windglobe
NAME:WINGD|Перышко
NAME:WINGSOFCORONIA|Крылья Коронии
NAME:WORMQ|Королева Червей
NAME:YAAIRF|Аэродром Эпсилон
NAME:YABIO|Биорезервуар
NAME:YABIOB|Большой Биорезервуар
NAME:YAKAOS|Туннель Чумных Клещей
NAME:YAPOWR|Биореактор
NAME:YAQUAD|Развернутый Размыватель
NAME:YARAIL|Адская Башня
NAME:YASMIN|Развернутый Рудокоп-Рабовладелец
NAME:YAVNMM|Генетическая Мина
NAME:YENGNEER|Инженер Эпсилон
NAME:YLNR|Луноход
NAME:YOU|Вы
NAME:YURIHIMSELF|Юрий
NAME:ZAPPER|Lil' Zapper
NAME:ZORB|Зорбоход
NAME:ZORB_N|Зорболет
STT:MODECHALLENGE|'Режим Вызова' - Бросьте вызов всем подфракциям одной фракции на специальных картах.
STT:MODEPETROWAR|'Нефтевойна' - Сражайтесь за единственный источник дохода - неуязвимые Нефтевышки.
STT:MODESURVIVAL|'Выживание' - Продержитесь против толп врагов, наступающих на вас.
STT:MODETECHMIX|'Смесь Технологий' - Доступны технологии всех подфракций.
STT:PLAYERSIDECORONIA|Крылья Коронии широко применяют манипуляцию воздухом и летающее вооружение.
STT:PLAYERSIDEHAIHEAD|Голова Акулы использует кибернетику и нанотехнологии для быстрого уничтожения целей.
STT:PLAYERSIDELASTBASTION|Последний Бастион использует тяжелые танки и нановолокна, чтобы держать свои рубежи в безопасности.
STT:STANDSCOREPARTIME|Рекорд разработчика по прохождению на этой сложности.
THEME:AFTERSHOCK|Aftershock
THEME:ALTERTHEFUTURE|Alter The Future
THEME:BEYOND|Beyond
THEME:BREAKDOWN|Breakdown
THEME:BROTHERHOOD|The Brotherhood
THEME:CALIBRATION|ctOS Calibration
THEME:DESTINYCOMBAT|Destiny
THEME:DESTROYER|The Destroyer
THEME:DOWNFALL|Downfall
THEME:EDGERAZOR|Edge Of The Razor
THEME:EXMACHINA|Ex Machina
THEME:FINALCHANCE|One Final Chance
THEME:HEROIC|Heroic
THEME:LLOD|The Last Line Of Defence
THEME:NOMORESUN|No More Sun
THEME:PURETENSION|Pure Tension
THEME:RELATIVITY|Relativity
THEME:REMNANT|Remnant Of The Distant Future
THEME:REVOLT|Revolt
THEME:RIGHTONTRACK|Right On Track
THEME:SHOULDERS|On The Shoulders Of Giants
THEME:STORMBRINGER|Stormbringer
THEME:THEREMNANT|The Remnant
THEME:THERESCUE|The Rescue
TXT_ASSAULT_RULES|Задача: Для победы уничтожьте флаги врагов, при этом защитив собственный.
TXT_BOUNTYHUNT_RULES|ОХОТА ЗА ПРЕМИЯМИ: Уничтожайте вражеские объекты чтобы получать деньги, \nзанимайте Бункеры Снабжения, чтобы получать ящики с ресурсами и бонусами.
TXT_CAPTURE_RULES|Задача: Для победы захватите флаги врагов, не дав захватить свой собственный.
TXT_COOP_SAVE_FAILED|Совместная миссия провалена.
TXT_COOP_SAVE_SUCCESS|Совместная миссия выполнена.
TXT_COOP_USE_SAVE|Загрузить сохраненную совместную игру.
TXT_DEFENSE_BUREAU_CAPTURE|Захвачено Бюро Оборонительных Операций - Все защитные сооружения производятся уже с улучшением.
TXT_EXP1OF3|Первое из 3 расширений карты через:
TXT_EXP2OF3|Второе из 3 расширений карты через:
TXT_EXP3OF3|Третье из 3 расширений карты через:
TXT_FAKE|ФАЛЬШИВКА
TXT_KOTH_RULES|Задача: Захватите и удержите Пси-Маяк в центре, чтобы поработить врагов и победить.
TXT_LOW_POWER|Нехватка энергии - Скорость производства снижена на 50%.
TXT_MISSILE_BUNKER_CAP|Захвачена Ракетная Шахта - Подготавливается ракетный удар.
TXT_OILCONTROL_RULES|КОНТРОЛЬ НЕФТИ: На карте нет руды. Единственный источник дохода - Депозитные Банки и неуязвимые Нефтевышки.
TXT_PSYCHICBEACON_CAPTURED|Пси-Маяк захвачен - Удерживайте его до окончания активации, чтобы выиграть.
TXT_PSYCHICBEACON_LOST|Пси-Маяк потерян.
TXT_RELEASE|Версия
TXT_RELEASE_NOTE_B|MO3.3.5
TXT_SAVE_CAMP_AVAILABLE|Доступна сохраненная совместная игра.
TXT_SILOS|Вы должны соорудить дополнительные хранилища руды.
TXT_TECH_ACADEMY_CAPTURED|Захвачена Академия - Вся пехота производится уже в звании ветерана.
TXT_TECH_ACADEMY_LOST|Академия потеряна.
TXT_TECH_AIRFIELD_CAPTURED|Захвачен Гражданский Аэродром - Доступен парашютный десант.
TXT_TECH_AIRFIELD_LOST|Гражданский Аэродром потерян.
TXT_TECH_BASEEXP_CAPTURED|Захвачен Строительный Аванпост - Получено новое место для строительства.
TXT_TECH_BASEEXP_LOST|Строительный Аванпост потерян.
TXT_TECH_DEFENSE_BUREAU_CAP|Захвачено Бюро Оборонительных Операций - Все защитные сооружения производятся уже с улучшением.
TXT_TECH_DEFENSE_BUREAU_LOST|Бюро Оборонительных Операций потеряно.
TXT_TECH_DOCKS_CAPTURED|Захвачены Военные Доки - Все морские боевые единицы производится уже в звании ветерана.
TXT_TECH_DOCKS_LOST|Военные Доки потеряны.
TXT_TECH_MAINTENANCE_CAPTURED|Захвачен Центр Технического Обслуживания - Доступен быстрый ремонт зданий.
TXT_TECH_MAINTENANCE_LOST|Центр Технического Обслуживания потерян.
