THEME:INTRO|Intro
TXT_DSOUND_INCOMPAT|Warning - Your sound card does not meet the product's audio requirements.
TXT_JANUARY|Январь
TXT_FEBRUARY|Февраль
TXT_MARCH|Март
TXT_APRIL|Апрель
TXT_MAY|Май
TXT_JUNE|Июнь
TXT_JULY|Июль
TXT_AUGUST|Август
TXT_SEPTEMBER|Сентябрь
TXT_OCTOBER|Октябрь
TXT_NOVEMBER|Ноябрь
TXT_DECEMBER|Декабрь
TXT_RELEASE_THE_HOUNDS|Release
TXT_RECONNECT_HELP1|Щелкните по имени игрока чтобы предложить исключить его из игры.
TXT_RECONNECT_HELP2|Если индикаторы соединения остальных игроков красные, то наверное это
TXT_RECONNECT_HELP3|Проверьте ваше соединение с Интернетом. Если вы отключены от Интернета
TXT_RECONNECT_HELP4|вы отсоединены от сети.
TXT_RECONNECT_HELP5|Нажмите 'Отмена' для того чтобы прервать игру и вернуться в прихожую.
TXT_RECONNECT_HELP2B|отсоединены от интернета.
TXT_RECONNECT_HELP3B|попробуйте переподключить интернет и продолжить игру, если
TXT_RECONNECT_HELP3C|остальные игроки не удалят вас раньше.
TXT_RECONNECT_KICK_SELF|Вы не можете удалить самого себя. Нажмите на 'Отмена' чтобы покинуть игру.
TXT_RECONNECT_KICK_RECEIVED|%s предложил(а) выгнать %s из игры.
TXT_BIOME_TUNDRA|Тундра
TXT_BIOME_TAIGA|Тайга
TXT_BIOME_TEMPERATE|Умеренный
TXT_BIOME_DESERT|Пустыня
TXT_TIME_MORNING|Утро
TXT_TIME_AFTERNOON|Полдень
TXT_TIME_DUSK|Вечер
TXT_TIME_NIGHT|Ночь
TXT_MAPSIZE_SMALL|Маленькая
TXT_MAPSIZE_MEDIUM|Средняя
TXT_MAPSIZE_LARGE|Большая
TXT_MAPSIZE_VERY_LARGE|Огромная
TXT_RANDOM_MAP_DESCRIPTION|Случайная карта
TXT_LOADING_GAME1B|Compensating for ambient light values...
TXT_CONSENT_REQUIRED|Since you are under the age of 13 our privacy policy requires that you send us a parental consent form to continue. Press 'yes' to open your web browser to this page.
TXT_CLAN_NOSTART|Для начала турнира между кланами игра должна иметь одинаковое количество игроков из двух кланов. Каждый игрок должен состоять в клане.
TXT_DISABLED|Ваша учетная запись временно недоступна. Убедитесь, что адрес электронной почты, который вы зарегистрировали - правильный. Вы хотите открыть окно вашего обозревателя для получения дополнительной информации?
TXT_SERIALBANNED|(БОЛЬШЕ НЕЛЬЗЯ ИСПОЛЬЗОВАТЬ)
TXT_SERIALDUP|Ваш серийный номер уже используется. Вы хотите открыть ваш обозреватель для получения большей информации?
TXT_SEL_USER|Вы должны выбрать пользователя, чтобы его выгнать/игнорировать/внести в черны список.
TXT_GOLD|Золото
TXT_ORANGE|Оранжевый
TXT_SKY_BLUE|Голубой
TXT_PINK|Розовый
TXT_COLOR_IN_USE|Этот цвет уже занят.
TXT_NO_CLAN|Вы должны входить в боевой клан, чтобы присоединиться к этой игре.
TXT_LANGCODE|0
TXT_SERIAL_DUP|There are already 2 players with your serial# in that game.
TXT_MISMATCH|Несовместимые версии игр. Чтобы убедиться, что у вас установлена самая последняя версия игры, посетите www.westwood.com
TXT_NO_EXPANSION_SCENARIO|Error - other player does not have this expansion scenario.
TXT_SCENARIO_ERROR|Incompatable scenario file detected. The scenario may be corrupt.
TXT_INVALID|Invalid option switch.
TXT_OPTION_HELP_01|Красная угроза 2 © 2000, 2001 Westwood Studios/2001-2006, Siberian Studio 
TXT_OPTION_HELP_02|Параметры: \n
TXT_OPTION_HELP_03|-DESTNET = Specify Network Number of destination system \n
TXT_OPTION_HELP_04|-SOCKET = Network Socket ID (0 - 16383) \n
TXT_OPTION_HELP_05|-STEALTH = Hide multiplayer names (
TXT_OPTION_HELP_06|-MESSAGES = Allow messages from outside this game. \n
TXT_MAP_ERROR|Ошибка карты!
TXT_SCATTER|Разбежаться
TXT_SCATTER_DESC|Разбежаться выделенному(ым) объекту(ам).
TXT_CENTER_VIEW|Централизовать
TXT_CENTER_VIEW_DESC|Поставить в центр экрана выделенный объект(ы).
TXT_CENTER_BASE|Базу в центр
TXT_LINE_BUSY|Линия занята.
TXT_NUMBER_INVALID|Неправильный номер.
TXT_DIALING|Звонок...
TXT_DIALING_CANCELED|Звонок отменен
TXT_WAITING_FOR_CALL|Ожидание звонка...
TXT_ANSWERING_CANCELED|Ответ отключен
TXT_SYSTEM_NOT_RESPONDING|Другая система не отвечает!
TXT_NO_COMP_ENABLE_RESPONSE|Error - Modem failed to respond to compression enable command. Your Windows configuration may be incorrect
TXT_NO_EC_ENABLE_RESPONSE|Error - Modem failed to respond to error correction enable command. Your Windows configuration may be incorrect.
TXT_CREATE_TEAM_DESC|Создать отряд %d из выделенных подразделений.
TXT_SELECT_TEAM|Выбрать отряд %2d
TXT_SELECT_TEAM_DESC|Выбрать созданный отряд %d.
TXT_ADD_SELECT_TEAM|Добавить отряд %2d
TXT_ADD_SELECT_TEAM_DESC|Выделить созданный отряд %d без выделения других подразделений.
TXT_CENTER_TEAM|Отряд %2d в центр
TXT_CENTER_TEAM_DESC|Перенести центр экран на отряд %d и выделить его.
TXT_TAUNT|Насмешки
TXT_TAUNT_NUMBER|Насмешка %2d
TXT_TAUNT_DESC|Отправить насмешку %d оппоненту.
TXT_NEXT_OBJECT|Следующий объект
TXT_NEXT_OBJECT_DESC|Выделить следующий объект.
TXT_PREV_OBJECT|Предыдущий объект
TXT_PREV_OBJECT_DESC|Выделить предыдущий объект.
TXT_STOP_OBJECT|Остановить объект
TXT_STOP_OBJECT_DESC|Остановить выделенный(ые) объект(ы).
TXT_GUARD|Охрана
TXT_GUARD_DESC|Приказать выделенному(ым) объекту(ам) войти\выйти в состояние охраны местности.
TXT_VICTORIOUS|Вы победитель!
TXT_CENTER_BASE_DESC|Перенести центр экрана на базу игрока.
TXT_ALLIANCE|Союз
TXT_ALLIANCE_DESC|Заключить / разорвать союз с выделенным объектом.
TXT_SELECT_VIEW|Выбрать Всех
TXT_SELECT_VIEW_DESC|Выбрать все подразделения на экране
TXT_REPAIR_MODE|Режим ремонта
TXT_REPAIR_MODE_DESC|Вкл. / выкл. режим ремонта.
TXT_SELL_MODE|Режим продажи
TXT_SELL_MODE_DESC|Вкл. / выкл. режим продажи.
TXT_POWER_MODE|Режим энергии
TXT_POWER_MODE_DESC|Переключатель режима энергии вкл. / выкл.
TXT_RADAR_EVENT|Перейти к событию
TXT_RADAR_EVENT_DESC|Переместить центр экрана на местоположение последнего события на радаре.
TXT_RADAR_TOGGLE|Переключатель радара
TXT_RADAR_TOGGLE_DESC|Вкл. / выкл. режим отображения радара.
TXT_SIDEBAR_UP|Панель вверх
TXT_SIDEBAR_UP_DESC|Прокрутить списки на панели вверх.
TXT_LSIDEBAR_UP|Список зданий вверх
TXT_LSIDEBAR_UP_DESC|Прокрутить список зданий на панели вверх.
TXT_RSIDEBAR_UP|Список подразд. вверх
TXT_RSIDEBAR_UP_DESC|Прокрутить список подразделений на панели вверх.
TXT_SIDEBAR_PGUP|Панель вверх на страницу
TXT_SIDEBAR_PGUP_DESC|Прокрутить списки на панели вверх на страницу.
TXT_LSIDEBAR_PGUP|Список зданий вверх на стр.
TXT_LSIDEBAR_PGUP_DESC|Прокрутить список зданий на панели вверх на страницу.
TXT_RSIDEBAR_PGUP|Список подразд. вверх на стр.
TXT_RSIDEBAR_PGUP_DESC|Прокрутить список подразделений на панели вверх на страницу.
TXT_SIDEBAR_DOWN|Панель вниз
TXT_SIDEBAR_DOWN_DESC|Прокрутить списки на панели вниз.
TXT_LSIDEBAR_DOWN|Список зданий вниз
TXT_LSIDEBAR_DOWN_DESC|Прокрутить список зданий на панели вниз.
TXT_SIGNOFF|Завершение - пожалуйста, подождите...
TXT_RSIDEBAR_DOWN|Список подразд. вниз
TXT_RSIDEBAR_DOWN_DESC|Прокрутить список подразделений на панели вниз.
TXT_SIDEBAR_PGDN|Панель вниз на страницу
TXT_SIDEBAR_PGDN_DESC|Прокрутить списки на панели вниз на страницу.
TXT_LSIDEBAR_PGDN|Список зданий вниз на стр.
TXT_LSIDEBAR_PGDN_DESC|Прокрутить список зданий на панели вниз на страницу.
TXT_RSIDEBAR_PGDN|Список подразд. вниз на стр.
TXT_RSIDEBAR_PGDN_DESC|Прокрутить список подразделений на панели вниз на страницу.
TXT_OPTIONS|Настройки
TXT_OPTIONS_DESC|Экран опций игры.
TXT_SCROLL_N|Прокрутка на север
TXT_SCROLL_N_DESC|Прокрутить карту на север.
TXT_SCROLL_S|Прокрутка на юг
TXT_SCROLL_S_DESC|Прокрутить карту на юг.
TXT_SCROLL_E|Прокрутка на восток
TXT_SCROLL_E_DESC|Прокрутить карту на восток.
TXT_SCROLL_W|Прокрутка на запад
TXT_SCROLL_W_DESC|Прокрутить карту на запад.
TXT_VIEW_BOOKMARK1|Просмотр закладки 1
TXT_VIEW_BOOKMARK1_DESC|Просмотр закладки местоположения 1 на карте.
TXT_VIEW_BOOKMARK2|Просмотр закладки 2
TXT_VIEW_BOOKMARK2_DESC|Просмотр закладки местоположения 2 на карте.
TXT_VIEW_BOOKMARK3|Просмотр закладки 3
TXT_VIEW_BOOKMARK3_DESC|Просмотр закладки местоположения 3 на карте.
TXT_VIEW_BOOKMARK4|Просмотр закладки 4
TXT_VIEW_BOOKMARK4_DESC|Просмотр закладки местоположения 4 на карте.
TXT_SET_BOOKMARK1|Установить закладку 1
TXT_SET_BOOKMARK1_DESC|Установка закладки местоположения 1 на карте.
TXT_SET_BOOKMARK2|Установить закладку 2
TXT_SET_BOOKMARK2_DESC|Установка закладки местоположения 2 на карте.
TXT_SET_BOOKMARK3|Установить закладку 3
TXT_SET_BOOKMARK3_DESC|Установка закладки местоположения 3 на карте.
TXT_SET_BOOKMARK4|Установить закладку 4
TXT_SET_BOOKMARK4_DESC|Установка закладки местоположения 4 на карте.
TXT_FOLLOW|Следовать
TXT_FOLLOW_DESC|Следовать за выделенным(и) объектом(и).
TXT_DEL_WAYPOINT|Удалить точку пути
TXT_DEL_WAYPOINT_DESC|Удалить выбранную точку пути.
TXT_PAGEUSER|Страничка пользователя
TXT_PAGEUSER_DESC|Страничка пользователя Westwood Online. (только для игры через Интернет)
TXT_SCENARIO_TOO_SMALL|Эта карта рассчитана не более чем на %d игроков. Учитываю человеческих и компьютерных игроков.
TXT_NEED_AT_LEAST_TWO_PLAYERS|Требуется не менее двух игроков, чтобы начать игру!
TXT_DOWNLOAD_FAILED|Скачивание невозможно, пожалуйста, проверьте ваше соединение и попробуйте снова.
TXT_GAME_RESTART|Красная угроза 2: Месть Юрия должна перезапуститься для самостоятельного обновления.
TXT_PASSWORD_TOO_SHORT|Ваш пароль должен быть не менее 8 символов.
TXT_PASSWORD_VERIFY|Вы должны дважды ввести одинаковый пароль.
TXT_LOB_1|Командование США
TXT_LOB_2|Корейский бункер
TXT_LOB_3|Германский бункер
TXT_LOB_4|Штаб США
TXT_LOB_5|Корейский штаб
TXT_LOB_6|Французский штаб
TXT_NEW_GAME|Новая игра
TXT_NEW_CHAT|Новая беседа
TXT_NEW|New
TXT_GAME_CHAN|Игровые каналы C&C2
TXT_OTHER_GAME|Другие игровые каналы
TXT_OFFICIAL_CHAT|Официальные игровые каналы
TXT_USER_CHAT|Каналы общения игроков
TXT_GAME_PASSWORD|Игра имеет пароль
TXT_LEAVE|Выйти
TXT_JOIN|Присоединиться
TXT_OPER|Оператор канала
TXT_VOICE|Голос
TXT_IGNOREUSER|Игнорировать
TXT_ACCEPTED|Принято
TXT_JOINED_S|Вы присоединились к каналу %s
TXT_REQUIRED_FIELD|A required field is missing, or invalid.
TXT_SCENARIO_COLON|Сценарий:
TXT_TOURNEY_COLON|Турнир:
TXT_BATTLE_CLAN|Боевой клан
TXT_HOST_RANK|Звание Сервера:
TXT_UNRANKED|Разжалован
TXT_CANT_KICK|Вы не можете выгнать игрока из турнира.
TXT_GDI|Союзники
TXT_NOD|Советский Союз
TXT_GAME_ID|Игра# %d
TXT_TOURNAMENT_GAME|Турнир
TXT_BATTLECLAN_GAME|Игра битва кланов
TXT_GAME|Игра: %d
TXT_WORST_CONNECTION|Плохое
TXT_POOR_CONNECTION|Poor
TXT_GOOD_CONNECTION|Нормальное
TXT_BEST_CONNECTION|Быстрое
TXT_WARNING_LOCALE_UNKNOWN|Вы не выбрали ваше местоположение. Нажмите OK для продолжения или нажмите отмена для возврата и выбора вашего местоположения.
TXT_DELETE_USER|Вы действительно хотите удалить пользователя '%s' из списка учетных записей?
TXT_MAP_ARCHIPELAGO|Архипелаг
TXT_MAP_CONTINENT|Континент
TXT_MAP_TEAM_CONTINENTS|Острова
TXT_MAP_INLAND|Внутри континента
TXT_MAP_MOUNTAINOUS|Горная
TXT_RESOURCE_LOW|Мало
TXT_RESOURCE_MODERATE|Достаточно
TXT_RESOURCE_HIGH|Много
TXT_RESOURCE_EXTREME|На всех хватит
TXT_THEATER_TEMPERATE|Лето (травка зеленеет)
TXT_THEATER_SNOW|Зима (снежок белеет)
VOX:CEVA001|Внимание: замечена Ядерная Шахта
GUI:MEATGRIND|Мясорубка
GUI:NAVALWAR|Морская война
GUI:NUKEWAR|Ядерная война
THEME:200METERS|200 Meters
THEME:BLOWITUP|Blow It Up
THEME:DESTROY|Destroy
THEME:BURN|Burn
THEME:PROBING|Probing
THEME:EAGLEHUNTER|Eagle Hunter
THEME:FORTIFICATION|Fortification
THEME:GIVEEMHELL|Give 'Em Hell
THEME:GRINDER|Grinder
THEME:INDEEP|In Deep
THEME:INDUSTROFUNK|Industro Funk
THEME:JANK|Jank
THEME:TENSION|Tension
MSG:LIGHTNINGSTORMACTIVE|Грозовой шторм уже идет. Активация отменена.
MSG:NOSTATIONARYCOMMANDS|Боевые единицы не могут выполнять этот приказ в режиме маршрута.
MSG:POSTTERMINATINGCOMMAND|Последний приказ этой боевой единице отменил маршрут.
MSG:POSTCONTINUALCOMMAND|Последний приказ этой боевой единице отменил маршрут.
MSG:POSTLOOP|Подразделениям в режиме патрулирования нельзя отдавать новые приказы.
MSG:NODEMAXIMUM|Вы достигли предела допустимого количества точек маршрута.
MSG:PLANNINGMODEINTRO1|Выберите подразделения и спланируйте их последовательные действия.
MSG:PLANNINGMODEINTRO2|Выберите подразделения и щелкните ЛКМ на карте для задания точек маршрута.
MSG:PLANNINGMODEINTRO3|После выхода из режима маршрута боевые единицы будут следовать проложенному маршруту.
MSG:PLANNINGMODEMERGE1|Щелкните на этом пункте чтобы добавить выбранные подразделения к этому маршруту.
MSG:PLANNINGMODEMERGE2|Merging units will execute the commands after the merge node.
MSG:PLANNINGMODELOOP1|Click on this node to create a patrol loop.
MSG:PLANNINGMODELOOP2|The patrol loop will persist as long as it has at least one member.
MSG:PLANNINGMODEDELETE1|Click this node to select it.
MSG:PLANNINGMODEDELETE2|A selected node may be deleted using the delete key.
MSG:PLANNINGMODEOTHERHOUSE|This waypoint path belongs to your ally.
MSG:PLANNINGMODEALREADYINLOOP1|Cannot connect to this node because the selected units
MSG:PLANNINGMODEALREADYINLOOP2|are already in a patrol loop.
MSG:PLANNINGMODETRAILINGNODE|Patrol loops must have 3 or more waypoints.
MSG:PLANNINGMODEMIXEDLOOP1|Cannot make loop with branch that does not contain the
MSG:PLANNINGMODEMIXEDLOOP2|entire selection.
MSG:ATTACKMOVEUNSUPPORTED|A member of the selection does not support attack move.
MSG:AUTODEPLOYUNSUPPORTED|A member of the selection does not support auto deploy.
GUI:EMPTY|
GUI:MOVIESANDCREDITS|Видео и титры
GUI:AIEASY|Легкий враг
GUI:AINORMAL|Средний враг
GUI:AIHARD|Могучий враг
GUI:QUIT|Выйти
GUI:LEAVE|Выйти
GUI:OBSERVE|Наблюдать
GUI:UIOPTIONS|Настройки ИП
GUI:AUDIOOPTIONS|Настройки звука
GUI:SETRESOLUTION|Разрешение игры
GUI:PARTIME|Рекорд:
GUI:YOURTIME|Ваше время:
GUI:HEADSTAKEN|Врагов уничтожено:
GUI:DUEL|Наземное месиво
GUI:COOPERATIVE|Совместно
GUI:DATEFORMAT|(ММ, ДД, ГГГГ)
GUI:EXITAREYOUSURE|Вы действительно хотите выйти из игры Красная угроза 2: Месть Юрия?
GUI:TALKTOALL|Сказать всем
GUI:TALKTOALLIES|Сказать союзникам
GUI:GIVEMONEY|Дать денег
GUI:GAVEMONEY|%s дал %s $%d
GUI:NOUNDERPARTITLE|ПРИМЕЧАНИЕ: Missing under par title.
GUI:NOUNDERPARMESSAGE|ПРИМЕЧАНИЕ: Missing under par message.
GUI:NOOVERPARTITLE|ПРИМЕЧАНИЕ: Missing over par title.
GUI:NOOVERPARMESSAGE|ПРИМЕЧАНИЕ: Missing over par message.
GUI:PARTITLEALL01|Ваше звание: Сержант
GUI:PARTITLEALL02|Ваше звание: Сержант персонала
GUI:PARTITLEALL04|Ваше звание: Сержант-майор
GUI:PARTITLEALL05|Ваше звание: Второй лейтенант
GUI:PARTITLEALL06|Ваше звание: Первый лейтенант
GUI:PARTITLEALL07|Ваше звание: Капитан
GUI:PARTITLEALL08|Ваше звание: Майор
GUI:PARTITLEALL09|Ваше звание: Лейтенант-полковник
GUI:PARTITLEALL10|Ваше звание: Полковник
GUI:PARTITLEALL11|Ваше звание: Генерал-майор
GUI:PARTITLEALL12|Ваше звание: Генерал
GUI:PARTITLEALL13|Ваше звание: Главнокомандующий
GUI:PARTITLESOV01|Ваше звание: Рядовой
GUI:PARTITLESOV02|Ваше звание: Ефрейтор
GUI:PARTITLESOV03|Ваше звание: Младший сержант
GUI:PARTITLESOV04|Ваше звание: Старший сержант
GUI:PARTITLESOV05|Ваше звание: Старшина
GUI:PARTITLESOV06|Ваше звание: Младший лейтенант
GUI:PARTITLESOV07|Ваше звание: Старший лейтенант 
GUI:PARTITLESOV08|Ваше звание: Капитан
GUI:PARTITLESOV09|Ваше звание: Майор
GUI:PARTITLESOV10|Ваше звание: Подполковник
GUI:PARTITLESOV11|Ваше звание: Полковник
GUI:PARTITLESOV12|Ваше звание: Маршал
GUI:PARTITLESOV13|Ваше звание: Генералиссимус
GUI:UNDERPARMSGALL01|Ваша молниеносная контратака приостановила советское вторжение.
GUI:OVERPARMSGALL01|Вы кое-как добились успеха в остановке советского вторжения.
GUI:UNDERPARMSGALL02|Ваши танки оглушил русских, сдавшихся в течении нескольких коротких часов.
GUI:OVERPARMSGALL02|Устроенная Вами резня с русскими стоила нам сотней жизней, но зато мы вернули академию военно-воздушных сил.
GUI:UNDERPARMSGALL03|Президент был спасен, до того как русские смогли разузнать хотя бы один секрет.
GUI:OVERPARMSGALL03|Президент был спасен, но все же многие военные секреты были поставлены под угрозу.
GUI:UNDERPARMSGALL04|Трагическая потеря Чикаго, не сравнится с потерей целой страны. Ваше быстрое уничтожение психического усилителя означало, что русские никогда не имели времени для тестирования своих технологий.
GUI:OVERPARMSGALL04|Психический усилитель был уничтожен, но не для советских сил, приобретших данные важного теста. Несмотря на трагическую потерю Чикаго, тем не менее, Вы сохранили целую страну от попадания под советское психическое влияние.
GUI:UNDERPARMSGALL05|Советские командиры все еще анализируют Вашу атаку, пытаются обнаружить секреты Вашей скрытной стратегии.
GUI:OVERPARMSGALL05|Шахты были уничтожены. Остальные советские ракеты были перемещены в глубь СССР.
GUI:UNDERPARMSGALL06|Точность, с которой Вы уничтожили советские силы и освободили Вашингтон, должна быть зафиксирована в книгах рекордов.
GUI:OVERPARMSGALL06|Вашингтон был спасен, но ценой большего количества человеческих жертв.
GUI:UNDERPARMSGALL07|Вы защитили Перл-Харбор и тихий океан теперь наш.
GUI:OVERPARMSGALL07|Перл-Харбор был спасен, но гавайские острова были разрушены русскими.
GUI:UNDERPARMSGALL08|Вы спасли Сент-Луис прежде, чем нашим гражданам смогли навредить.
GUI:OVERPARMSGALL08|Сент-Луис был спасен, но тысячи американцев стали верить в правоту русских.
GUI:UNDERPARMSGALL09|Советские солдаты зовут Вас 'Призрак' за Ваше умение незаметно наносить удары.
GUI:OVERPARMSGALL09|Благодаря Вам, наша технология была восстановлена.
GUI:UNDERPARMSGALL10|Ваша эффективность производит впечатление, немецкие командиры просили, чтобы Вы готовили офицеров стратегии и командованию.
GUI:OVERPARMSGALL10|Лаборатория в Шварцвальде была спасена, работа Эйнштейна может продолжаться.
GUI:UNDERPARMSGALL11|Русские командиры боятся Вашего командования больше, чем дивизий Союзников.
GUI:OVERPARMSGALL11|Хроносфера построена. Благодаря Вашему усилию, Союзники готовы для последнего шага к победе.
GUI:UNDERPARMSGALL12|Ваши легендарные командные способности останутся навсегда в истории. Вы один из величайших генералов.
GUI:OVERPARMSGALL12|Романов захвачен, война выиграна. Победа Ваша.
GUI:UNDERPARMSGSOV01|Пентагон был уничтожен так быстро, что многие важные американские генералы были захвачены нашими солдатами, уничтожающими их вооруженные силы.
GUI:OVERPARMSGSOV01|Благодаря Вам Пентагон был уничтожен, и американские военные были отправлены в небытие.
GUI:UNDERPARMSGSOV02|Американский флот вместе с морской базой были уничтожены так быстро, что наши солдаты смогли захватить лишь несколько американских офицеров.
GUI:OVERPARMSGSOV02|Американский флот был уничтожен. Пока вы приносите победу, большие потери Советского Союза не должны волновать.
GUI:UNDERPARMSGSOV03|Психический маяк был установлен так быстро, что целая американская танковая дивизия была захвачена, прежде чем смогла убежать.
GUI:OVERPARMSGSOV03|С вашей помощью растет сила генсека Романова. Американский народ охотно присоединяется к нашей армии.
GUI:UNDERPARMSGSOV04|Корейское вторжение было остановлено, и даже некоторые люди из их правительства тайно заключили с нами мир.
GUI:OVERPARMSGSOV04|В долгой и кровавой битве, Вы успешно защитили Матушку Россию.
GUI:UNDERPARMSGSOV05|Французы боятся Вашего командования больше чем наших танков. В Париже Вы стали известны как 'Мясник'.
GUI:OVERPARMSGSOV05|Вы превратили Эйфелеву Башню в оружие террора. Вы сполна 'наказали' Европу.
GUI:UNDERPARMSGSOV06|Адмиралы Союзников отказываются посылать свои суда в море, из-за мгновенного уничтожения Вами Перл-Харбор.
GUI:OVERPARMSGSOV06|Корейцы и американцы успешно расторгли союз. Тихий океан теперь наш.
GUI:UNDERPARMSGSOV07|Ваша безжалостная эффективность заработала Вам большую репутацию в Красной Армии.
GUI:OVERPARMSGSOV07|Военная лаборатория в безопасности. Союзники не осмелятся еще раз нанести удар Матушке России.
GUI:UNDERPARMSGSOV08|Изменник взят: Ваша внезапная атака в Вашингтоне заставила Ваших конкурентов боятся Ваших стратегических способностей.
GUI:OVERPARMSGSOV08|Владимир был наказан за его преступления. Ваша победа не осталась незамеченной.
GUI:UNDERPARMSGSOV09|Мировые лидеры дрожат от страха нападения наших психических войск.
GUI:OVERPARMSGSOV09|Президент в нашей власти. Вы будете награждены за свой энтузиазм.
GUI:UNDERPARMSGSOV10|Ваши стратегические способности становятся легендарными. Люди всего Советского Союза открыто говорят о том, что только Вы принесете победу нашей стране.
GUI:OVERPARMSGSOV10|Союзники не могут держаться против Ваших мощных атак. Вы хорошо используете жизни своих людей.
GUI:UNDERPARMSGSOV11|Ваше имя уже известно школьникам как величайший генерал, которого когда-либо знал мир.
GUI:OVERPARMSGSOV11|Оправдания Юрия были слабыми и неправдоподобными. Ваши танковые дивизии отомстили ему.
GUI:UNDERPARMSGSOV12|Ваше имя останется в истории среди величайших командиров. А сейчас мир готов к Вашему правлению.
GUI:OVERPARMSGSOV12|Союзники разбиты, и мир просит присоединиться к Вашим вооруженным силам. Вся власть теперь принадлежит только Вам.
STT:EMPTY|
STT:MAINBUTTONMOVIES|Посмотреть видеоролики и имена создателей.
STT:MAINOPTBUTTONNETWORK|Изменить конфигурацию Вашей сети.
STT:MAINOPTCBOXSTRETCH|Растягивать видео при высоких разрешениях экрана.
STT:MAINOPTSLIDERVISUAL|Изменить графические эффекты в игре.
STT:MAINOPTCOMBOMODES|Выбрать разрешение экрана для Вашей игры.
STT:MAINOPTSLIDERSPEED|Настроить скорость подразделений и времени строительства.
STT:MAINOPTSLIDERDIFFICULTY|Настроить сложность в игре.
STT:MAINOPTCBOXCAMEO|Настроить всплывающие названия кнопок в строительных таблицах..
STT:MAINOPTCBOXTARGETLINES|Показывать линии нацеливания подразделений при движении и атаке.
STT:MAINOPTCBOXHIDDEN|Показывать подразделения, скрытые зданиями.
STT:MAINOPTCBOXTOOLTIPS|Показывать описание подразделений, зданий и кнопок.
STT:MAINOPTSLIDERSCROLL|Настроить скорость прокрутки мышкой.
STT:MAINOPTCBOXSCROLLCOASTING|Tactical map slowly coasts to a stop.
STT:MAINOPTSLIDERMUSIC|Настроить уровень громкости музыки.
STT:MAINOPTSLIDERSOUND|Настроить уровень громкости звуковых эффектов.
STT:MAINOPTSLIDERVOICE|Настроить уровень громкости голоса.
STT:MULTIOPTCOMBOCARD|Адреса сетевой карты (только для опытных).
STT:MULTIOPTEDITSOCKETNUM|Редактировать Ваш номер сокета IPX (только для опытных).
STT:MULTIOPTEDITDESTADDR|Изменить Ваш адрес назначения (только для опытных).
STT:MULTIOPTBUTTONOK|Применить Ваши изменения.
STT:MULTIOPTBUTTONCANCEL|Отменить Ваши изменения.
STT:CONFIRMEXITBUTTONLEAVE|Прервать игру и покинуть ее.
STT:CONFIRMEXITBUTTONLEAVEEX|Прервать игру и покинуть ее.
STT:CONFIRMEXITBUTTONOBSERVE|Сдаться и наблюдать битву.
STT:IGGAMEOPTCBOX|Настроить всплывающие названия кнопок в строительных таблицах.
STT:STANDSCOREPARTIME|Стандартное время выполнения этой миссии.
STT:STANDSCOREYOURTIME|Ваше время выполнения этой миссии.
STT:STANDSCORETITLE|К вам обращаются.
STT:STANDSCOREMESSAGE|Оценка итогов ваших действий.
STT:STANDSCOREKILLS|Количество врагов, уничтоженных на протяжении миссии.
TIP:CHEER|Ликовать
CMND:DELETE|Удалить
CMND:DELETEDESC|Удаляет выбранный объект.
CMND:PLANNINGMODE|Режим Маршрута
CMND:PLANNINGMODEDESC|Позволяет параллельно отдавать последовательности приказов, исполнение которых начнется одновременно.
CMND:ATTACKMOVE|Атака в движении
CMND:ATTACKMOVEDESC|Приказывает подразделениям атаковать неприятелей, встреченных по ходу движения.
CMND:AUTODEPLOY|Авторазвертывание
CMND:AUTODEPLOYDESC|Приказывает боевой единице автоматически разворачиваться на цели.
CMND:COMBATANTSELECT|Выбор Вооруженных
CMND:COMBATANTSELECTDESC|Выбирает все боевые подразделения.
CMND:TYPESELECT|Выбор Типа
CMND:TYPESELECTDESC|Выделить подразделения по типу. Работает со смешанными группами войск.
CMND:HEALTHNAVIGATION|Выбор по Здоровью
CMND:HEALTHNAVIGATIONDESC|Выделение боевых единиц с одинаковым состоянием здоровья.
CMND:VETNAVIGATION|Выбор по Опыту
CMND:VETNAVIGATIONDESC|Выделение боевых единиц с одинаковым уровнем опыта.
CMND:TYPENAVIGATION|Выбор по Типу
CMND:TYPENAVIGATIONDESC|Выбор боевых единиц одного типа (в порядке возрастания общей стоимости).
CMND:ALLCHEER|Ликовать
CMND:ALLCHEERDESC|Приказать войскам ликовать по поводу Ваших успехов.
WDT:TERRITORYSUFFIX|\n --------- \n
WOLNEWNICKNAME|New Account
WOL:NEWACCOUNTFETCH|Contacting Account Server
GUI:MANAGEACCOUNT|Получить уч. запись
GUI:LADDERWINS|Победы :
GUI:LADDERLOSSES|Поражения :
GUI:LADDERPOINTS|Очки :
GUI:WOLMATCH|Быстрый матч
WOL:REQUESTINGMATCH|Requesting Match
WOL:MATCHTIMEOUT|Error : Timed out waiting for game start
WOL:MATCHINGSERVERUNAVAILABLE|Error : Matching Server Not Found
WOL:MATCHGAMESTARTING|Game Starting...
WOL:MATCHFAILRANK|Cannot locate opponent within your skill range...
WOL:MATCHFAILPING|Cannot locate opponent with acceptable connection speed...
WOL:MATCHFAILWDTSIDE|Cannot locate enemy in this territory
WOL:MATCHFAILEXIT|The matching server is unable to service you at this time
